review,label
金良玉地的冷冻鲜白糯玉米12个礼盒装，有机的非转基因白糯玉米，是健康粗粮，每个独立包装。制作很简单，只要上锅蒸熟就可以吃了。味道好，个头足，吃起来粘糯，是好玉米。买了黄糯和白糯两种，专门对比尝尝，发现白糯更好吃，比黄糯更软，甜度两者差不多，黄糯稍稍干一点点，就看个人爱好了，牙口好推荐黄糯玉米，处理的很干净，直接下锅煮就好了。满满一箱12根的寒地黑土天然有机玉米，块头不小，煮半个小时以上就可以吃了，粒粒饱满，非常糯，一股玉米香，特别好吃，胃口小的一根可以管饱，煮的玉米水千万别浪费，一丝丝清甜，营养又好喝。我们家特别喜欢吃玉米，选了好多家，感觉还是金良玉地的好吃，香香的有种小时候的味道，煮完之后屋子里飘着玉米的香味，回味无穷，介绍几个小经验：除了玉米棒芯，一点不剩的全啃掉最营养，尤其是别落下贴近玉米棒的黄色颗粒，因为那是玉米的胚芽，玉米胚芽不仅香甜可口而且营养丰富，它富含油酸和维生素E。油酸能升高体内好胆固醇降低坏胆固醇，维生素E则有很强的抗氧化能力。这都是吃玉米窝窝头、喝玉米糊糊时吃不到的，因为玉米胚芽富含的油酸、亚油酸、维生素E都易氧化酸败，加工成玉米面时要将胚除去。,1
现在家里面的很多东西基本上都是在京东上购买的，都是买的是自营的，自营的东西相对比较来说有保证售后有保障，这次买了金良玉地的玉米，买了三个品种的有白糯的、黄糯的这两种是速冻的很新鲜，黑玉米是真空的，全程冷链收到都是很新鲜的,1
"是糯包谷。可能还是应该过煮，蒸出来的有点老有点干，香还是香。
独立包装，卫生、方便储存。按新鲜食品配送，快递小哥直接送到家的。物流便捷，赞一个。会考虑回购。",1
一直想买玉米，挑选了很久终于找到了这款金良玉地的玉米，趁着有活动买了好几箱各种品种的玉米，.早上当作早餐吃方便快捷，隔水蒸一下就好吃了，收到货立马蒸了一个解馋味道真的很好吃,1
2021年1月13号凌晨一点多下单的，13号19点多就送达了，京东的快递太给力了，因为小区不让快递上门，这次买的物品需要冷鲜保存，快递员还把保鲜箱留下了，感谢?！金良玉地的有机糯玉米外包装完好，每一颗玉米都是独立包装，生产日期是：2020年10月的，外观上颗粒饱满，还没品尝，尝后复评！,1
金玉良地甜玉米粒，玉米味道很浓，香甜好吃，非常好的一款玉米粒，值得购买，京东生鲜送货很快，值得信赖，以后买冷冻食品就去京东商城,1
物品到达外包装完整没有破损和化冻。优选100 有机速冻鲜食黄糯玉米 6支礼盒装 1.4kg 经常买白糯的，这次换了换黄糯的。也很好吃。用水煮五分钟左右就好了。简单方便快捷。物流配送超快快递小哥送货上门一如既往地好。,1
现在家里面吃的用的基本已经都是在京东（自营）上买的，感觉在京东上买方便，快速基本上下单的第二天就能收到货啦，而且都是送到家的，很方便，这个玉米是冷冻的很新鲜，颗粒饱满，很糯有玉米淡淡的清香微甜真的很不错,1
想买东西，就必会先上京东逛逛，因为喜欢它的品质与物流。最近想吃玉米，所以肯定又来京东了，以前买过这个品牌的白玉米，这次下单买黄色的尝尝，收到后上锅蒸后品尝感觉黄的虽糯却不甜，个人还是偏爱白色玉米的口感，个人喜好仅供参考。,1
满满一箱12根的寒地黑土天然有机玉米，块头不小，煮半个小时以上就可以吃了，粒粒饱满，非常糯，一股玉米香，特别好吃，胃口小的一根可以管饱，煮的玉米水千万别浪费，一丝丝清甜，营养又好喝。,1
买了黄糯和白糯两种，专门对比尝尝，发现白糯更好吃，比黄糯更软，甜度两者差不多，黄糯稍稍干一点点，就看个人爱好了，牙口好推荐黄糯。玉米?处理的很干净，直接下锅煮就好，京东用冷链运输，货到时都冻的很结实，购物体验很好,1
自从京东平台有了这款“金良玉地”有机黄糯玉米就坚持购买到现在。因为是大品牌、是京东自营商品(京东在质量上严格把关)，选择东北肥沃的黑土地，产地环境无污染、出产日期很新近、很新鲜，京东物流不但快而且是全程冷链、用泡沫保温箱(里面还放了冰袋来确保食品质量新鲜度)包装快递员也是快马加鞭地赶来送货上门，拿到的宝贝就像冰箱冷冻室里状态，一点没融化。因为家人很喜欢吃这款玉米所以只要京东搞促销活动都会购买(囤货)，而且是独立小包装就更卫生安全。想吃了也特方便，无需解冻拿出来冲洗一下、蒸煮十来分钟就可以解馋：吃在嘴里有弹Q感、甜甜糯糯、很香、很好吃，每次都是意犹未尽！吃了还想吃。现在提倡健康生活方式，健康食物多吃点，生活也会健康快乐系数大大提升点。,1
这玉米太好吃了，终于找到几年前吃的玉米，粘粘的黄玉米，一下就吃了一根，现超市里买到的都是白玉米。吃的太开心了，忘记拍煮熟后的照片了。,1
非常的喜欢特别的好，非常的满意。我家一直非常的喜欢吃。而且它是有机的，蒸制啊自己直接煮啊都是非常非常好的。口感连绵软糯做主食，做副食都可以。生产日期也特别的新鲜，嗯，这个牌子一直玉米粒儿也比较饱满，活动买的很划算。,1
? 农家乐晚餐?          昨晚下单的有机白糯玉米下午准时收到，煮上！京东自营速度就是快，保温箱冷藏送到，放心满意。一下子买了三种：白，晃，花。         色艳，味美，可口，健康的晚餐，希望小丫一会回来能喜欢。,1
今年第一次购买此玉米，因为孩子老婆喜欢吃，去年购买过好多次，但质量都是一如既往的好。原来都是黄色的老一点，这次反过来了，竟然白的还没黄的好吃。这次老的嫩的参差不齐，希望嫩的多一些,1
"金良玉地有机玉米，健康安全！
懒人福音，只要放在锅中一蒸，数十分钟后就可以吃了！
口感软糯，玉米的淡甜香，包你暖胃，暖心，冬日里更暖！",1
金良玉地优选有机速冻鲜食黄糯玉米，有玉米味道 ，甘甜健康，好吃营养。,1
以前在京东上买过这款玉米，非常好吃，又嫩又糯，所以这次有活动又买了两箱，味道不错，但是其中有一箱不是很好，有一些干别瘪发黑的。,1
金良玉地有机速冻糯玉米段家庭装  750g  早餐 烧烤 健康轻食味道不错哦。,1
相信京东，非常满意，非常好，质量有保证，服务好，还会再来！东西好，保真，用的踏实，售后也特别好，有问题解决特别速度，真的是非常满意，还会继续相信京东！,1
包装完好，配送速度，价格优惠，日期新鲜。有机玉米口感软糯，香香甜甜的还是，吃着放心。一共十二根，煮着吃一半，剩一半烤着吃试试。,1
快递速度准时，玉米包装干净完整，放心满意。,1
发货快，包装严实，商品质量非常好，比专柜便宜很多，客服服务态度也特别好，好评！是正品，信赖商家，宝贝质感很好，价格也适中，无限回购！已经收到啦，很不错，还有赠品，性价比太高啦，爱了爱了,1
以前买过好几个牌子的玉米，这款却是第一次买，看着标题是有机玉米，还是整箱发货的，正好家里粗粮吃完了，就买点尝尝，收到货，竟然是速冻玉米不是真空包装，蒸锅蒸后尝了一个味道一般吧，偏老偏硬，只能弄成玉米粒炒着吃，有点失望，不是软糯口感。,1
去年买了好几次了！味道挺好的！特别的糯！刚好今天有活动，果断下单了四箱，活动购买挺合适的，毕竟外边的玉米也要三块钱一根，这个还是独立包装的呢！,1
每次都在京东上买这个有机的玉米质量很不错，价格也别便宜。物美价连呀！蜀道要便宜希望是有祈祷希望是有机玉米有机产品希望京东经常搞活动物流也很快，关键是还能预约上门时间这点挺好的,1
玉米还可以吧，我觉得还行吧，价格也不算便宜有一点点小贵，我觉得这个价格不便宜，还是喜欢买鲜玉米，不太喜欢吃速冻的觉得。觉得速冻的口感还是差。,1
这个是甜玉米，不糯， 但是儿子很喜欢吃 。吃了很多了才来瓶玉米粒儿 ，挺大的玉米芯儿小。水分比较足 如果喜欢吃甜玉米的可以下单哦,1
金良玉地有机东北香糯玉米，花糯彩糯 200g一支，共6根，吃起来糯糯的，有玉米味道，怪不得经常缺货。,1
这个牌子的速冻玉米不是第一次买了，特别喜欢吃，这次京东年货节搞活动挺划算，买了过年打粥吃，软糯可口，香甜，老人小孩都喜欢吃。,1
一直定期买玉米，尤其特别喜欢吃糯玉米，早餐跟午餐代替主食是不错的选择，搭配鸡蛋，水果，牛奶或者酸奶很不错，每次买个十几二十根能吃挺久，放冰箱冷冻，每次拿出来蒸十来分钟吃着很新鲜，搞活动的时候买还是很划算的,1
东西不错，送货也很快！做炒饭用，很方便。,1
特别好的产品！必须点赞！京东物流真给力！太赞了?,1
好吃，新鲜。己多次回购。发货快，物流快，快递小哥送货又快又细心。快递小哥把货物捆滴很结实。收货人好拿又不容易损坏货物。,1
买了很多次了，赶上五折的时候确实很实惠，一旦赶上五折的时候，就一定会装满冰箱，作为一个女人需要长期减肥，玉米是碳水化合物的很好的替代品！,1
非常好吃，甜甜的，很嫩很嫩的，主要还有就是很方便很方便的，开袋即食，简直了太喜欢了，信赖京东，谢谢辛苦的快递小哥,1
"赶上双十一搞活动，价格非常合适，好好质量也不错，喜欢，好吃！
京东购物方便快捷，省时省力省心！
都是大品牌，值得信赖！",1
吃一口小时候的感觉味道不错，香喷喷。,1
我们家特别喜欢吃玉米，选了好多家，感觉还是金良玉地的好吃，香香的有种小时候的味道，煮完之后屋子里飘着玉米的香味，回味无穷，介绍几个小经验：除了玉米棒芯，一点不剩的全啃掉最营养，尤其是别落下贴近玉米棒的黄色颗粒，因为那是玉米的胚芽，玉米胚芽不仅香甜可口而且营养丰富，它富含油酸和维生素E。油酸能升高体内「好胆固醇」降低「坏胆固醇」，维生素E则有很强的抗氧化能力。这都是吃玉米窝窝头、喝玉米糊糊时吃不到的，因为玉米胚芽富含的油酸、亚油酸、维生素E都易氧化酸败，加工成玉米面时要将胚除去。,1
总体来说还是可以的，比超市便宜多了，物流还可以吧，基本上第二天都到了,1
玉米很糯，好吃，已经回购了,1
多次多次的回购了，很好吃，主要是有营养，对身体好，也很好吃，信赖京东,1
之前买过白色的，挺好吃的，这次黄色的比白色有嚼头，但是没有那么甜。,1
家里糯玉米囤了很多货了，够吃一个月了，只买金良玉地的或者东北农嫂家的玉米吃，相对来说还算是放心。东北朋友说现在都是转基因玉米了，外地人不知道而已，作为小老百姓一个，咱也不敢说咱也不敢问是不是真的，只能卖啥吃啥买啥吃啥而已，冷冻的比常温保存的口感要嫩一些,1
买这个好多次了，打玉米汁还是挺好的，不用自己剥玉米。,1
之前真空塑封装的，我买过不止一次，口感很好，很香很糯。但不知道为什么，这次所谓礼盒装的，口感反而不如前两三次买的，感觉有点“陈”！再次让我觉得冷库出问题了。,1
"选择东北肥沃的黑土地，产地环境无污染、出产日期很新近、很新鲜,京东物流不但快而且是全程冷链、用泡沫保温箱(里面还放了冰袋来确保食品质量新鲜度)包装快递员也是快马加鞭地赶来送货上门,拿到的宝贝就像冰箱冷冻室里状态,一点没融化。因为家人很喜欢吃这款玉米所以只要京东搞促销活动都会购买(囤货)，而且是独立小包装就更卫生安全。想吃了也特方便,无需解冻拿出来冲洗一下、蒸煮十来分钟就可以解馋:吃在嘴里有弹 Q 感、甜甜糯糯、很香、很好吃,每次都是意犹未尽!吃了还想吃。现在提倡健康生活方式,健康食物多吃点,生活也会健康快乐系数大大提升点。",1
加油吧，沸腾的双十一活动！心心念念的金玉玉米终于又做活动了，给自己的双十一购买点东西吧，忍不住就购买了7件！把冰箱塞得满满的！可以慢慢吃上一段时间了！真好！,1
买了很多次了，喜欢吃他们家的玉米，玉米大小均匀，颗粒饱满，每个都有独立的包装，煮蒸味道都很好，玉米香糯可口，味道超好。京东的物流也不错，玉米冷链发货，拿回家还很保鲜，满意,1
玉米收到还是冰的，京东自营果然给力，每一个都是独立包装，需要放冰箱冷冻，日期很新鲜，个头不小，一次一根够了，每天的早餐美美哒！蒸了一次煮了一次，感觉还是蒸的口感好吃！可以入手,1
去年已经买过好几次了，刚开始的时候是蒸着吃的，又试了试煮着吃，个人感觉煮着比蒸着口感好很多！比产品颗粒饱满，劲道有弹性，口感很好！日期很近，产品很新鲜！,1
很好的有机糯玉米，糯糯的口感好吃，日期很近，2021年1月11号的。，京东快递物流很快，包装很好，快递小哥给送货上门，下次会再来买的，好评。,1
用手抓饼做芝士玉米饼。这玉米沙拉。这。玉米饭团。蔬菜拌饭炒饭。包饺子，包馄饨。必不可少。非常喜欢这个玉米粒。日常屯货。反复回购的。味道淡淡的甜，吃起来很冷，比自己买的玉米嫩多了。还可以打玉米汁。,1
好评 便宜,1
这个玉米真空包装很好，日期新鲜，活动时间买的，算下来一根也就两块多，黏性很好，而且不老，黄色的比白色感觉要香一点，好吃不易胖，哈哈????小孩子也爱吃,1
不知道道买了多少次这个玉米了  全家都喜欢吃 很方便，比市场买的味道好很多，爱吃糯玉米的可以选这款，这不是水果玉米那种，有机食品很放心，现在减肥，每天放锅里蒸一下，很方便，主要味道好，京东购物放心。,1
特意多拍了几张图，这个玉米，不错，挺糯，挺甜的。就是冻玉米，上锅一蒸，就可以吃，特别方便。,1
