空间评论,空间评分,动力评论,动力评分,操控评论,操控评分,能耗评论,能耗评分,舒适性评论,舒适性评分,外观评论,外观评分,内饰评论,内饰评分,性价比评论,性价比评分
平时做一家四口是很舒服，后排只能做2个人，中间的座位几乎不能坐人，扶手箱里面几乎不能放东西，储物空间太差了，扶手箱里面有无线充电，太不方便了，如果把无线充电设计到水杯架旁边会很好多，使用起来也方便，扶手箱也会腾出来放其他东西，门把手上的储物空间也小的可怜，什么东西都放不了，然后副驾驶前面的杂物箱更是可怜了，只能放一些文件之类的，其他东西是放不了，也没有香氛系统了，有点遗憾！1.83米身高，驾驶位调到最低的情况,4,"3.0T直列六缸的动力还是不错的，只是变速箱逻辑不够聪明，低速顿挫明显,1-4档顿挫感明显，只有启动的时候，才显示D1，平常等红灯的情况下，都是D2起步的，但是发动机转速太低了，变速箱老是拿捏不好自己改用几档形势，加上换挡速度还是不够快，所以低速还是顿挫明显，也有可能是新车的原因，等过了磨合期再看看情况如何新车15公里动力充沛",4,操控尚可吧，毕竟这么大的车，不能跟性能车比较，这么大的车，起步比较笨重，开起来的感觉还是不错，厚重感很好，提速也够用，高速上很稳定！操控还可以中控很精致,4,油耗比较高，目前开的大多是市区，目前油耗15-16，属于偏高，估计以后开开高速，综合油耗可以到13升左右吧，不过买这个车的都不是那么在意油耗吧，在意油耗也不会买这种车了！标的很低，实际很高惊人的油耗,3,舒适性不错吧，买这个车的都是冲着舒适性的内饰很漂亮新车的时候后排空间也不错,5,外观霸气侧漏，气场十足，很喜欢，比7跟A8气场足很多！霸气的车身霸气的车身,5,内饰比较精致，但是也有很多需要改进的地方，比如前排座椅后背太简陋了，没有木头装饰，过于简单精致的内饰新车的样子座椅后排比较简单，没有任何装饰,5,现在出手性价比是比较好的，缺点就是面临换代，买了马上变老款了现在价格实惠,4
前排、后备箱空间都没得说～ 但后排的腿部空间比我想象中小！,4,每个人追求的不同～这车自带行政气质。 要想开的猛不如买个宝马3、野马、挑战者等等。 我相信选择这车的人 对动力没什么大的追求。况且！百公里加速时间也不过才6秒多。动力足够了～,5,方向盘精准 厚实 一如既往的经典奔驰式操控～以前开E260 也是这样的感觉～ 几乎没变化,5,3.0的6缸机 12、3个油耗属实太正常了。高速120码的情况下应该是9个左右。夏天全程空调……,5,奔驰的坐姿 属实舒服…… 和日本车形成鲜明的对比。虽然是轿车，但座姿一点儿不低。开过的人应该都明白。,5,奔驰S级 外观好像也没啥说的吧。在我心里就是永恒的经典！ 另外听说9月份 会出新款 不知道网上的照片是真是假…… 如果是真的那实在是丑爆了… 咱审美眼光不行～,5,奔驰的亮点就是内饰光鲜亮丽，高端大气上档次～所以也没啥可说的…… 但是系统吧 有时候会卡点儿 尤其是链接手机的时候！手机互联,5,作为同级标杆我觉得贵得合情合理～ 在7系优惠13万～ A8优惠18万的情况下我依旧选择S 所谓的性价比，真是无从谈起～ 喜欢就买 就这么简单提车当天新老钥匙,5
D级车的尺寸，空间不是问题，尤其是把后排座椅靠背放倒之后。,5,直列6缸+48V轻混，之前用在S500上的发动机系统，黄金动力完全够用，轻混让启停和低速行驶的感受更舒适。,5,方向盘很轻，这么大的车开起来特别轻松，大概是得益于可变转相比的功劳。灵活性上和运动型小车没法比。,5,没有关注油耗问题，可能轻混系统可以降低油耗吧。,5,原厂胎一定要换，虽然有空气悬架，但我换成米胖子的PS4S之后，体感舒适度提升30%，胎噪更小了。,5,喜欢豪华版的外观，不喜欢AMG外观，国内的S级从450四驱往上就都是AMG运动外观了。国外的S级到560都还能选豪华外观，不知道中国市场是出于什么考虑。,5,内饰颜色专门选的米内，加上350尊享特有的木质方向盘，优雅无敌。到了晚上更是氛围到位。,5,个人认为是国内百万预算性价比最高的车型。,5
空间就不用说了，后排可以喝着啤酒，谈着理想,5,虽说是3.0的但是动力就非常奔驰，一点激情没有！平平无奇,3,别自欺欺人了，开了半个月，这么大的车哪来的什么操控,4,目前13个油，非常不错，作为大型轿车可以,5,后排座椅放倒，配合后排自带的头枕睡觉那叫个舒服,5,外观比a8，7系他们强太多了，放在一起不是一个档次的,5,奔驰一直是以内饰设计出名的，奔驰内饰叫做土豪装潢,5,相比同级车型，价格死贵，没有优惠，加价，毫无性价比，但是一样二手卖的时候比他们贵哈哈,2
空间一般，特别是后备箱被电机占了空间的原因比较小，后排空间也比7系小,3,动力一般吧，就够用，顿挫感比较强，听说可以去四儿子店升级变速箱,2,买这个车的应该不会追求操控，开的肯定不会有很好的体验,2,油耗还可以接受，比较低，高速的话就更省油了,4,过滤振动还可以，隔音也还可以，就是驾驶位开长途不舒服,3,外观这代s是公认的好看，没有什么可以点评的，大气，简洁,4,内饰同样是比较精简，做工细节比较到位，比较高档,4,性价比还可以吧，如果追求性价比的话可能7系比较合适,3
只能四人 五人的话 会很难受,5,踩 就有,5,一 般,4,16吧 高速13 还会降,5,很 棒,5,酒 红色 很帅 很低调 外加amg套件,5,一 般,4,现在降价 性价比很高啦 建议四驱 装驾驶辅助 这样才能更直接感受到豪车乐趣,5
很充足了，无论多大的个儿，都没问题，宽敞的很。,5,奔驰的动力是再加速环节，起速比较慢，但是行进中提速嗷嗷叫的。奔驰的起速我觉得挺好，起速太快容易出事故呢，起速慢一些乘坐的满意度增加。其实这车百公里加速不到七秒的，说明行进中加速非常凌厉。,5,得心应手，指哪打哪，柔性指向，精准实现，半径也小。,5,自动驾驶减掉三分之一油耗，惊奇！一般城市道路略塞车还是不行，13以上。道路通畅就十以下。高速一般都可以达到5-7，很省油。48伏轻混系统常常充不满电，瞬间就用光了电。下坡的山路爆满过一次。,4,无与伦比。那种舒适是沙发都比不上的，每一个细节都支撑刚刚好，让你飘飘欲仙，犹如天国。,5,大气稳重，对得起投资。气场十足，压得住台面，对得起场面。,4,精美。用料非常豪华高级，做工精细，声音和质感都让人感动。,5,贵是贵，物有所值，人生在世，还是对得起自己逝去的岁月，铺开未来的人生。,4
% buffered00:00/00:05倍速高清空间没得说，豪华车的标杆，内饰够豪华够大，就是后排简单了些,4,动力没有任何问题，想要400n的扭矩油门稍微深踩下就有了，新款s350 l6的六缸的参数没啥区别，而且油耗比较低，很省油，买低配的图个经济性,4,加装了23p后，高速绑个重力环方向盘上，就可以全程自动驾驶了，能够实现L2.5的水平，不过还是要看着前面，外一有施工围挡没法自动避让，指向还是挺灵活的，小路车有点大这个没办法。不会有老款开船的感觉，动力随叫随到，四缸可能没有那种充沛的信心，但是电机补充了,4,% buffered00:00/00:03倍速高清四缸弱混，带能量回收，高速可以轻松只跑到7个油,5,前排没有座椅通风，其他还行。低配的后排差了点意思，不听升级个后座总成要6-7万，有点贵还是算了。加装大柏林8万，音质牛逼,5,经典就是经典，燃油车的绝版车型，下一代的外形感觉不如这款,5,绝对的标杆，氛围营造，一股淡淡的皮革香味,5,低配的性价比很不错，以后卖二手也不会贬值太多,5
比原来的E级大多了，不論左右前後，都很好，座椅寬大，包裹優秀,5,"目前看不错，313的扭矩足夠應付日常市區和高速，1100轉130㎞/h的速度表顯D9，變速箱於發動機匹配和好，沒有頓挫感,e模式車上5人，後備箱裝日常物品及兩件酒的情況下動力較弱，C模式就完全沒有問題",5,目前開200多公里來看，市區變道很輕盈，高速很穩，動力操控比想象中好很多，與試駕過的740毫不遜色，動力比730好。剎車也很有力，前打孔通風盤，後通風盤，但是在4S店看S450L四驅後也是打孔通風盤，不知為什麼,5,目前不到300公里，綜合油耗顯示18.5，市區緩堵基本20不變，高速9（只開了80來公里）油耗可以忽略，首先是新車，其次太多的用電器，滿足舒適能接受,4,就是因为舒服而买的，駕駛位放到最低任然略顯高了，可以很清楚看到2/3車標，後排的舒適是BBA裡面最好的，頭枕的舒適，整個後排總能調到一個你百分之百滿意舒適的位置，副駕位置沒坐過，兒子坐回答比原來E級舒服太多，主要是座椅軟硬適中！ 後排空調聲音略大，開啟後駕駛位清晰聽見風聲,5,除了轮毂款式差点，顏色稀有，在陽光下和陰天有著不同的變化，必須點讚！大部分S都是黑色，只是我也想要水硅矾鈣石藍，無奈沒有，後來冒險遠了磚石銀，現在看來很滿意,5,精致细腻，用料考究，所有開關阻尼很到位，座椅皮質很細膩，軟硬適中，包裹到位，後排頭枕舒適度滿分，和淘寶200塊的確實不一樣！方向盤實木很好的襯托了豪華車，金屬按鍵，出風口，方向盤質感無可挑剔，起到點睛之筆！,5,320感覺4缸不考慮，混動更不考慮奔馳， 450兩驅配置和多的價格還有動力讓我感覺這個型號奔馳就沒打算賣，450四驅是不錯，但是我這個城市真要用四驅的時候是凝凍天氣，那時候估計我不跑高速，就算跑高速家裡也有四驅SUV，所以相比而言350最有性價比！ 在问了无数外地经销商几乎都加价1--3万的情况下，能在贵阳找到这样的价格自己都不敢相信了！再次感谢买E级认识的销售,5
% buffered00:00/00:04倍速高清后排老板位 躺着 躺着 躺着 重要的事情说三遍 我身高188 腿伸直没问题很好,5,加速杠杠的 轻轻踩踩就上100码了,5,% buffered00:00/00:15倍速高清春节的时候 高速封路 走小路 四驱杠杠的这款车 不管你驾驶技术有多烂 都好开 就是车太长了 进地下库拐弯要慢点 起步特别稳 过去悬挂很舒服,5,目前2000公里 表上显示20个油,5,% buffered00:00/00:13倍速高清很舒服 右边后排 我1米88 躺着腿伸直没问题,5,% buffered00:00/00:10倍速高清远看不大 进看不小 amg套间 非常运动中又包含着商务的感觉 让人耳目一新 非常舒服 这个价格已经算便宜的了 以前老款的发动机排量太大 所以贵很多 现在排量就3.0 所以便宜了很多,5,% buffered00:00/00:09倍速高清内饰没有听到过异响 隔音效果很好 而且柏林之声很好 真的可以听见口水声 等一下视频奉上 你们听听就知道,5,性价比真的是没的说 非常非常非常好 开了这个车 路上的 路虎揽胜 宝马7系 奥迪A8 保时捷帕拉梅拉 玛莎拉蒂 都比不上 我个人是这么觉得的 而且这个车坐的和开的都很舒服 同等级车型 朋友都有 都开过 说实话 那几个车 开的都像是在坐船一样。。。真的 而且启动的时候 正距大灯 让你会觉得非常有仪式感 。。,5
