编号,发帖人_编号,题目,题目字数,内容,内容字数,昵称,车系,地点,时间间隔,空间密度,空间评分,动力密度,动力评分,操控密度,操控评分,能耗密度,能耗评分,舒适性密度,舒适性评分,外观密度,外观评分,内饰密度,内饰评分,性价比密度,性价比评分,视频数,上下班,购物,接送小孩,自驾游,跑长途,商务差旅,越野,约会,赛车,拉货,网约车,组车队,改装玩车,支持,浏览,评论,里程值,精华帖,主贴,关注,粉丝,车辆匹配
1,2796683,20款S350L商务用车体验,14,"相信大多数买S的都是气场，S的气场太足了，其次就是内饰豪华精致！开一台没有挂牌的S出去，回头率是超高的，走在路上开过去看后视镜，很多人都会回头看你的车，这个时候就觉得买这个车是值得的，开着S总有一种成功感吧，毕竟S是大家眼中的成功者之车，开出去谈生意也比较有面子，车里面的氛围灯设计的很好，尤其晚上坐在里面很享受，白天坐在后座可以把遮阳帘升起来，一样享受夜晚的待遇，后排座椅角度可以调节，调节到自己喜欢的角度，后排的头枕超柔软超舒服，长途开车会很舒服！。配置太低了，商务版本的S350L居然连驾驶位记忆座椅都没有，这个这么实用的功能都会被减配，真不知道 厂家怎么想的，这个级别的车，肯定不是一个人开呀，座椅记忆是最基本的配置了，我的宝马328Li记忆座椅太方便了，而且还带后视镜记忆，只要别人开过你的车，自己上车只要按一下记忆按钮，就自动回到自己固定的驾驶位，太方便了，尤其是我这种对驾驶位特别挑剔的人，这个功能要找一个专业的改装店去改装一下了，然后人机互交系统没有宝马的好友，奔驰的反应有点迟钝，切歌都需要停顿一下才能切过去，而且也不带记忆功能，宝马的是蓝牙播放过后的音乐都会储存在车上，奔驰的没有这个功能，而且投影功能也需要连接线，宝马的是无线的，更方便一些，奔驰作为汽车的发明者，而S又代表了奔驰最高的造车理念，看起来车无完车，奔驰的9速变速箱换挡逻辑目前来看还是不够聪明，1-4档顿挫感强烈，除了启动的时候是D1，其他的情况下都是D2起步，是3.0T的发动机马力太大？不用D1起步？那D1档的作用不知道是什么了，是为了减少频繁的换挡吗？我感觉发动机调教的转速过低，但是低扭又不是特别的充足，所以变速箱低速的时候老是拿捏不准改用什么档位来行驶，不知道过了磨合期以后会不会好一些！。平时做一家四口是很舒服，后排只能做2个人，中间的座位几乎不能坐人，扶手箱里面几乎不能放东西，储物空间太差了，扶手箱里面有无线充电，太不方便了，如果把无线充电设计到水杯架旁边会很好多，使用起来也方便，扶手箱也会腾出来放其他东西，门把手上的储物空间也小的可怜，什么东西都放不了，然后副驾驶前面的杂物箱更是可怜了，只能放一些文件之类的，其他东西是放不了，也没有香氛系统了，有点遗憾！1.83米身高，驾驶位调到最低的情况。3.0T直列六缸的动力还是不错的，只是变速箱逻辑不够聪明，低速顿挫明显,1-4档顿挫感明显，只有启动的时候，才显示D1，平常等红灯的情况下，都是D2起步的，但是发动机转速太低了，变速箱老是拿捏不好自己改用几档形势，加上换挡速度还是不够快，所以低速还是顿挫明显，也有可能是新车的原因，等过了磨合期再看看情况如何新车15公里动力充沛。操控尚可吧，毕竟这么大的车，不能跟性能车比较，这么大的车，起步比较笨重，开起来的感觉还是不错，厚重感很好，提速也够用，高速上很稳定！操控还可以中控很精致。油耗比较高，目前开的大多是市区，目前油耗15-16，属于偏高，估计以后开开高速，综合油耗可以到13升左右吧，不过买这个车的都不是那么在意油耗吧，在意油耗也不会买这种车了！标的很低，实际很高惊人的油耗。舒适性不错吧，买这个车的都是冲着舒适性的内饰很漂亮新车的时候后排空间也不错。外观霸气侧漏，气场十足，很喜欢，比7跟A8气场足很多！霸气的车身霸气的车身。内饰比较精致，但是也有很多需要改进的地方，比如前排座椅后背太简陋了，没有木头装饰，过于简单精致的内饰新车的样子座椅后排比较简单，没有任何装饰。现在出手性价比是比较好的，缺点就是面临换代，买了马上变老款了现在价格实惠。需要一台D级车，喜欢S的气场和精致的内饰，当初对比过7系和A8，7系的驾驶感受更好，A8不太喜欢，其实纠结了很久7系，现在7系的性价比很高，但是自己有一台328Li了，想换一下口味，换7系的话，没有任何新鲜感，所以纠结后，还是决定选择S吧，提车开了几天，不后悔的选择!",1610,1,奔驰S级,佛山?,33 ,206,4,164,4,76,4,99,3,37,5,37,5,70,5,36,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,116,372431,116,78190,3,135,126,184,0
2,40293642,奔驰S级——即将三十岁的男孩梦！,16,品牌价值，德国工艺，S级自带气质和驾驶感受。。柏林之声竟然不是标配！好歹80多万的车！。前排、后备箱空间都没得说～ 但后排的腿部空间比我想象中小！。每个人追求的不同～这车自带行政气质。 要想开的猛不如买个宝马3、野马、挑战者等等。 我相信选择这车的人 对动力没什么大的追求。况且！百公里加速时间也不过才6秒多。动力足够了～。方向盘精准 厚实 一如既往的经典奔驰式操控～以前开E260 也是这样的感觉～ 几乎没变化。3.0的6缸机 12、3个油耗属实太正常了。高速120码的情况下应该是9个左右。夏天全程空调……。奔驰的坐姿 属实舒服…… 和日本车形成鲜明的对比。虽然是轿车，但座姿一点儿不低。开过的人应该都明白。。奔驰S级 外观好像也没啥说的吧。在我心里就是永恒的经典！ 另外听说9月份 会出新款 不知道网上的照片是真是假…… 如果是真的那实在是丑爆了… 咱审美眼光不行～。奔驰的亮点就是内饰光鲜亮丽，高端大气上档次～所以也没啥可说的…… 但是系统吧 有时候会卡点儿 尤其是链接手机的时候！手机互联。作为同级标杆我觉得贵得合情合理～ 在7系优惠13万～ A8优惠18万的情况下我依旧选择S 所谓的性价比，真是无从谈起～ 喜欢就买 就这么简单提车当天新老钥匙。为儿时“长大了要开大奔” 这个梦想买单！吹过的牛逼都要通过自己的奋斗一一去实现！,569,1,奔驰S级,烟台?,27 ,29,4,87,5,44,5,48,5,50,5,79,5,62,5,78,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,36,63473,29,3680,0,2,6,4,0
3,3630221,百万预算里性价比最高的车型,13,尊享型配置丰富，四门无钥匙进入，电动感应后备箱，前后排座椅记忆通风加热角度调节，柏林之声环绕音响，前后排手机无线充电，喜欢的舒适性配置几乎都有了。。原厂的轮毂最不满意，验完车第一件事就是把轮毂和胎给换了，改变可以说是天翻地覆的。其次就是偶尔出现的小毛病，但都很快自动恢复了，比如油表不显示油量，command系统黑过一次屏。。D级车的尺寸，空间不是问题，尤其是把后排座椅靠背放倒之后。。直列6缸+48V轻混，之前用在S500上的发动机系统，黄金动力完全够用，轻混让启停和低速行驶的感受更舒适。。方向盘很轻，这么大的车开起来特别轻松，大概是得益于可变转相比的功劳。灵活性上和运动型小车没法比。。没有关注油耗问题，可能轻混系统可以降低油耗吧。。原厂胎一定要换，虽然有空气悬架，但我换成米胖子的PS4S之后，体感舒适度提升30%，胎噪更小了。。喜欢豪华版的外观，不喜欢AMG外观，国内的S级从450四驱往上就都是AMG运动外观了。国外的S级到560都还能选豪华外观，不知道中国市场是出于什么考虑。。内饰颜色专门选的米内，加上350尊享特有的木质方向盘，优雅无敌。到了晚上更是氛围到位。。个人认为是国内百万预算性价比最高的车型。。喜欢S级经典的外形设计，能够抵抗时光与潮流的更迭，六缸发动机的黄金动力完全满足日常使用，内饰设计带来的豪华氛围感是同级别其它车型无法超越的。宜家宜商，平时见商务客户的时候有礼有面，接送家人和孩子也安全舒适，方方面面都拿捏的非常到位。趁着换代之前收藏一辆，风华绝代。,643,1,奔驰S级,北京?,34 ,29,5,53,5,48,5,23,5,48,5,76,5,43,5,20,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,72,90802,47,13170,3,40,23,153,1
4,18103910,改款之前，全款提20款，赶上这趟末班车,19,s级停在任何时候都有种老大哥的那种感觉，是a8，7系不能给你的感觉，很微秒。不满意的地方还没看到，就是85w的车音响给我来了个高保真！。空间就不用说了，后排可以喝着啤酒，谈着理想。虽说是3.0的但是动力就非常奔驰，一点激情没有！平平无奇。别自欺欺人了，开了半个月，这么大的车哪来的什么操控。目前13个油，非常不错，作为大型轿车可以。后排座椅放倒，配合后排自带的头枕睡觉那叫个舒服。外观比a8，7系他们强太多了，放在一起不是一个档次的。奔驰一直是以内饰设计出名的，奔驰内饰叫做土豪装潢。相比同级车型，价格死贵，没有优惠，加价，毫无性价比，但是一样二手卖的时候比他们贵哈哈。最开始是准备买帕拉梅拉，联系了江苏销售熟人，在他手上买过macan，他告诉我全国现在只有6台现车配置的加价在6w到10w，一听我就不能接受，然后跟着朋友去看奔驰，本来是奔着gle去的，后来在店里销售说没车，而且gle450加价6w，今天国外疫情导致热门进口车都在加价销售，然后我就看到展厅c位上的s，什么叫做一眼定车，前前后后5个小时全款，上临牌，回家，仪式都没来的急弄，给了我一束花，一个购车礼包,484,1,奔驰S级,马鞍山?,50 ,21,5,28,3,25,4,20,5,23,5,26,5,24,5,42,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,25376,6,2750,2,43,13,74,0
5,6714471,中规中矩，要是能改善顿挫就好了,15,气场比较强，做工比较精细，灯光漂亮，互联驾驶比较好用，车的外观和内饰都比较好看，减震舒服，隔音比较好。换挡比较顿挫，油表如果跑到底加满油容易出现油量不显示，电机启动时噪音比较大，后备箱太小，没有后排娱乐，雷达太敏感，经常报警，触控板不好用。空间一般，特别是后备箱被电机占了空间的原因比较小，后排空间也比7系小。动力一般吧，就够用，顿挫感比较强，听说可以去四儿子店升级变速箱。买这个车的应该不会追求操控，开的肯定不会有很好的体验。油耗还可以接受，比较低，高速的话就更省油了。过滤振动还可以，隔音也还可以，就是驾驶位开长途不舒服。外观这代s是公认的好看，没有什么可以点评的，大气，简洁。内饰同样是比较精简，做工细节比较到位，比较高档。性价比还可以吧，如果追求性价比的话可能7系比较合适。就对比过7系，新A8太过于商务，LS试驾过感觉不是很好，没有想象中的隔音好，动力强，减震好的感觉，反而感觉跟普通的凌志没什么差别，所以也pass，最后选择了S350，比较均衡的一款车。,433,1,奔驰S级,东莞?,119 ,34,3,31,2,26,2,21,4,26,3,27,4,23,4,25,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,15864,0,12080,1,45,21,76,0
6,177584520,整体不错细节小毛病也有,11,辅助驾驶很不错 跑长途基本不累 不过道路偏离不太准确 有时候超车打转向灯也会强行回正 比较吓人 空调很棒 暖风很快就有 氛围灯一般 行车时不是很亮 carplay不错 自带多媒体基本没用过 除了看电影 使用感受一般 毕竟s 没啥太多说的 20款后排老板椅多了一个腿拖 其他和19款好像都一样 amg套件很帅。储存空间太小 最反人类的应该是扶手箱没有usb线的出口 手机只能塞到扶手箱里 太无语了 无线充电基本没啥用 多媒体播放不好用 空调开过五次就不出热风 检修原因是热水供水器损坏（好像是这么个玩意 原因不明 柏林之声没那么好 自己开 所以忍受不了这些小缺陷。只能四人 五人的话 会很难受。踩 就有。一 般。16吧 高速13 还会降。很 棒。酒 红色 很帅 很低调 外加amg套件。一 般。现在降价 性价比很高啦 建议四驱 装驾驶辅助 这样才能更直接感受到豪车乐趣。X7 7系 领航员 S 做了下对比 不言而喻咯,407,0,奔驰S级,北京?,113 ,14,5,4,5,3,4,12,5,3,5,19,5,3,4,37,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,67,73780,26,100,0,0,0,2,0
7,95803925,灵魂伴侣的最佳车仆,9,每一样都很满意，都恰如其分的好，刚刚好，不多不少。例如刹车，无论是司机刹车还是自动，都讲究柔软糯，悠着，软接触，刹车力度分级精细许多，让你用多少米减速到什么速度，得心应手。另一个是轻松，许多事情都自动了，例如空调，它是气候调节，分区温度，负离子，香薰分时喷洒，急降温车内气旋，总而言之让你舒服过瘾。过弯，轮胎有着很好的排水和抓地能力，整个车子配合巧妙，心里想着压黄线转，就精确地实现，毫无难度。安全，超多的安全配置可调，觉得不怎么可能出事的，都考虑到了，预防了，例如压线，立刻就震方向盘，然后急刹车，一秒左右接踵而来，养成你不碰车道线好习惯。舒适，静音超好，蚊子一样的喇叭声打开车窗汽笛一样。坐的太舒服了，每一个部位恰到好处地软，还不耽误你运动驾驶需要的硬座椅。空气温度湿度味道这些保障得让你觉得生命美好，可能外面是五十度高温还是大雨。动力，从来没试过地板油，上陡坡加大油门可以直接零到一百，秒杀所有辛苦爬坡的车，都是担心动力太强出事，都用经济档。灵魂，灵魂级别的人车合一，不是宝马的车是肢体延伸，而是养神滋补级别的回馈，无论心情怎样，不论情绪滔天，都体谅你的心情，配合你的发泄，从无失望。有一次我心情不好，倒车入库动作猛了些，结果一下子给我刹停了车，下车看了看，周围没东西啊，才明白是倒车油门猛了，容易出事！尊贵，常常让车让人，总能收获感激，奔驰！也常常被让，留大车距，羡慕不断……在路上奔驰，有一种和城市和道路人流水乳交融的感觉，淡定，自信，无惧困难艰险，勇往直前。灯光，首先是质感，看上去凸显的是影像的质感而不是灯光的强，有一种夜色中凸显的感觉，不会忽略任何道路使用者。远光高度智能，首先是有路灯绝对不会开，没路灯时犹如拉开大幕般徐徐开启，把每一片树叶照得玲珑浮突晶莹夺目，每逢前面有人有车或者对面有车，都会关掉相应一小部分的灯光，绝不耀眼晃眼的奔驰绅士精神淋漓尽致……过路口，左右转，环岛，上下坡，车速高低，都有灯光覆盖的不同形态自动切换，注重宽还是远，注重速度还是路面情况，都照顾到最真切的实际需要，特别是转弯时的大面积倾斜，杜绝了黑暗中突如其来的突兀，早早发现突发危机。觉得百万级别的豪车更注重稳重信心，亲善路人，散播友爱关怀，礼让谦让，理解有礼，克己复礼，为路人两肋插刀……最重要的是这车纠正了自己许多灵魂深处的坏毛病坏习惯，开拓思路，破解难题，实在是灵感的一副好药。。最标志性的后排头枕，那个神奇的S级标志头枕怎么没有啦？太失望了。只有迈巴赫才保留。后排座椅不可以调整，虽然没有乘客会去调整，可车主还是很想自己调一下，配合节奏。这么高级的车：连座椅记忆都没有，无匙进入也没有，自动驾驶也不能4S加装，香薰系统也没有、、、、、、高档次商品内涵丰富，发挥性能需要适应的幅度有点大，自己起点低、、。很充足了，无论多大的个儿，都没问题，宽敞的很。。奔驰的动力是再加速环节，起速比较慢，但是行进中提速嗷嗷叫的。奔驰的起速我觉得挺好，起速太快容易出事故呢，起速慢一些乘坐的满意度增加。其实这车百公里加速不到七秒的，说明行进中加速非常凌厉。。得心应手，指哪打哪，柔性指向，精准实现，半径也小。。自动驾驶减掉三分之一油耗，惊奇！一般城市道路略塞车还是不行，13以上。道路通畅就十以下。高速一般都可以达到5-7，很省油。48伏轻混系统常常充不满电，瞬间就用光了电。下坡的山路爆满过一次。。无与伦比。那种舒适是沙发都比不上的，每一个细节都支撑刚刚好，让你飘飘欲仙，犹如天国。。大气稳重，对得起投资。气场十足，压得住台面，对得起场面。。精美。用料非常豪华高级，做工精细，声音和质感都让人感动。。贵是贵，物有所值，人生在世，还是对得起自己逝去的岁月，铺开未来的人生。。一直仰慕豪车究竟豪哪里，怎么样。决定性的理由是我开车老打瞌睡，偏离车道，酿成事故，结果根本不敢跑远，生怕睡着就离开人世了。这个车有车道警告，后来加装了自动驾驶，免除后顾之忧。,1617,1,奔驰S级,广州?,273 ,23,5,93,5,25,5,94,4,42,5,28,4,28,5,35,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,22,160419,18,6810,0,0,7,2,1
8,6452324,这款确实是四缸，喷子走开,12,活动加速挺快，油耗低，家装23p自动驾驶，高速可以自适应巡航。四缸机名声在外不好，混动虽然动力还不错毕竟鄙视链下面的啊，不过也懒得改标了。第一批电瓶还是电容质量有缺陷，使用1年后2020初坏了，索赔了一个新的，希望不要再坏了。空间没得说，豪华车的标杆，内饰够豪华够大，就是后排简单了些。动力没有任何问题，想要400n的扭矩油门稍微深踩下就有了，新款s350 l6的六缸的参数没啥区别，而且油耗比较低，很省油，买低配的图个经济性。加装了23p后，高速绑个重力环方向盘上，就可以全程自动驾驶了，能够实现L2.5的水平，不过还是要看着前面，外一有施工围挡没法自动避让，指向还是挺灵活的，小路车有点大这个没办法。不会有老款开船的感觉，动力随叫随到，四缸可能没有那种充沛的信心，但是电机补充了。四缸弱混，带能量回收，高速可以轻松只跑到7个油。前排没有座椅通风，其他还行。低配的后排差了点意思，不听升级个后座总成要6-7万，有点贵还是算了。加装大柏林8万，音质牛逼。经典就是经典，燃油车的绝版车型，下一代的外形感觉不如这款。绝对的标杆，氛围营造，一股淡淡的皮革香味。低配的性价比很不错，以后卖二手也不会贬值太多。当时看中是弱混动车，电气化好，可以升级23p自动驾驶,526,1,奔驰S级,南京?,638 ,54,4,70,4,127,4,48,5,60,5,28,5,20,5,22,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,7,8275,1,5040,0,56,2,15,1
9,1480147,超级优惠，一級舒適,9,"目前刚提车，暂时只对价格比较满意，926000的车价，送3A3B保养，送定做脚垫后箱垫，威威座套，全车威固太阳膜，一个S车膜，一套车用毯子，奔驰雨伞，六瓶汽油添加剂，两个钥匙包，一年玻璃险，整车延长质保一年，全车镀晶一次，保养六次！當然不是因為優惠而滿意，首先應該是滿意這個品牌，其次是這個配置和顏色，這兩樣都滿意了才有了前面說的滿意價格，全是小驚喜小意外吧！。作为D级豪华车，百万的售价，前排座椅记忆通风应该也没几个钱，直接标配又何妨？不行加个两三万也可以，何必如此吝啬。 另外一個感覺SD卡音樂不能像原來E級車那樣分文件夾，不論卡上是否分文件夾在機器上全部是一個文件夾，找音樂不是很方便，而且部分原來E級可以識別的文件名現在顯示亂碼。比原来的E级大多了，不論左右前後，都很好，座椅寬大，包裹優秀。目前看不错，313的扭矩足夠應付日常市區和高速，1100轉130㎞/h的速度表顯D9，變速箱於發動機匹配和好，沒有頓挫感,e模式車上5人，後備箱裝日常物品及兩件酒的情況下動力較弱，C模式就完全沒有問題。目前開200多公里來看，市區變道很輕盈，高速很穩，動力操控比想象中好很多，與試駕過的740毫不遜色，動力比730好。剎車也很有力，前打孔通風盤，後通風盤，但是在4S店看S450L四驅後也是打孔通風盤，不知為什麼。目前不到300公里，綜合油耗顯示18.5，市區緩堵基本20不變，高速9（只開了80來公里）油耗可以忽略，首先是新車，其次太多的用電器，滿足舒適能接受。就是因为舒服而买的，駕駛位放到最低任然略顯高了，可以很清楚看到2/3車標，後排的舒適是BBA裡面最好的，頭枕的舒適，整個後排總能調到一個你百分之百滿意舒適的位置，副駕位置沒坐過，兒子坐回答比原來E級舒服太多，主要是座椅軟硬適中！ 後排空調聲音略大，開啟後駕駛位清晰聽見風聲。除了轮毂款式差点，顏色稀有，在陽光下和陰天有著不同的變化，必須點讚！大部分S都是黑色，只是我也想要水硅矾鈣石藍，無奈沒有，後來冒險遠了磚石銀，現在看來很滿意。精致细腻，用料考究，所有開關阻尼很到位，座椅皮質很細膩，軟硬適中，包裹到位，後排頭枕舒適度滿分，和淘寶200塊的確實不一樣！方向盤實木很好的襯托了豪華車，金屬按鍵，出風口，方向盤質感無可挑剔，起到點睛之筆！。320感覺4缸不考慮，混動更不考慮奔馳， 450兩驅配置和多的價格還有動力讓我感覺這個型號奔馳就沒打算賣，450四驅是不錯，但是我這個城市真要用四驅的時候是凝凍天氣，那時候估計我不跑高速，就算跑高速家裡也有四驅SUV，所以相比而言350最有性價比！ 在问了无数外地经销商几乎都加价1--3万的情况下，能在贵阳找到这样的价格自己都不敢相信了！再次感谢买E级认识的销售。D级车的标杆，使用接近7年的北京奔驰E200L，对奔驰的做工，性能，品质非常认可，本車顏色為磚石銀988，比滿大街黑色稀有太多，而且顏色比較耐灰塵，D級車至少六缸，畢竟是個情懷，開了這麼多年的車一直是三缸四缸，所以選擇S350L磚石銀米內，四驅用不上，相比而言350的配置是最適合自己的。",1279,1,奔驰S级,贵阳?,24 ,30,5,100,5,105,5,74,4,136,5,78,5,103,5,182,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,120,385638,111,45370,5,83,8,228,1
10,83434680,同等级车里最满意秒杀保时捷帕拉梅拉玛莎拉蒂宝马7系,25,夜晚真的是太舒服了。目前没啥不满意。后排老板位 躺着 躺着 躺着 重要的事情说三遍 我身高188 腿伸直没问题很好。加速杠杠的 轻轻踩踩就上100码了。春节的时候 高速封路 走小路 四驱杠杠的这款车 不管你驾驶技术有多烂 都好开 就是车太长了 进地下库拐弯要慢点 起步特别稳 过去悬挂很舒服。目前2000公里 表上显示20个油。很舒服 右边后排 我1米88 躺着腿伸直没问题。远看不大 进看不小 amg套间 非常运动中又包含着商务的感觉 让人耳目一新 非常舒服 这个价格已经算便宜的了 以前老款的发动机排量太大 所以贵很多 现在排量就3.0 所以便宜了很多。内饰没有听到过异响 隔音效果很好 而且柏林之声很好 真的可以听见口水声 等一下视频奉上 你们听听就知道。性价比真的是没的说 非常非常非常好 开了这个车 路上的 路虎揽胜 宝马7系 奥迪A8 保时捷帕拉梅拉 玛莎拉蒂 都比不上 我个人是这么觉得的 而且这个车坐的和开的都很舒服 同等级车型 朋友都有 都开过 说实话 那几个车 开的都像是在坐船一样。。。真的 而且启动的时候 正距大灯 让你会觉得非常有仪式感 。。。主要是商务 从武汉来董事长和老总谈生意接送比较有面子,511,1,奔驰S级,十堰?,31 ,64,5,17,5,94,5,17,5,48,5,115,5,76,5,153,5,5,1,0,0,0,0,1,0,0,0,0,0,0,0,61,295456,46,4730,0,0,2,17,1
