location,service,price,environment,dish
Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Positive
Not Mentioned,Not Mentioned,Neutral,Not Mentioned,Positive
Positive,Positive,Negative,Positive,Positive
Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Positive
Not Mentioned,Not Mentioned,Negative,Not Mentioned,Not Mentioned
Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned
Not Mentioned,Not Mentioned,Negative,Not Mentioned,Neutral
Not Mentioned,Neutral,Not Mentioned,Positive,Positive
Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Positive
Not Mentioned,Positive,Not Mentioned,Positive,Positive
Not Mentioned,Not Mentioned,Negative,Not Mentioned,Negative
Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned
Not Mentioned,Not Mentioned,Neutral,Not Mentioned,Positive
Not Mentioned,Not Mentioned,Positive,Positive,Positive
Not Mentioned,Positive,Positive,Not Mentioned,Positive
Not Mentioned,Positive,Not Mentioned,Negative,Positive
Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Positive
Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned
Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Positive
Not Mentioned,Positive,Not Mentioned,Not Mentioned,Positive
Not Mentioned,Positive,Not Mentioned,Not Mentioned,Not Mentioned
Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Positive
Not Mentioned,Not Mentioned,Neutral,Not Mentioned,Positive
Not Mentioned,Neutral,Negative,Negative,Neutral
Not Mentioned,Positive,Neutral,Not Mentioned,Positive
Not Mentioned,Not Mentioned,Negative,Not Mentioned,Neutral
Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Positive
Not Mentioned,Negative,Negative,Not Mentioned,Not Mentioned
Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Positive
Positive,Negative,Not Mentioned,Not Mentioned,Neutral
Not Mentioned,Negative,Positive,Not Mentioned,Positive
Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Positive
Not Mentioned,Negative,Neutral,Not Mentioned,Not Mentioned
Not Mentioned,Negative,Not Mentioned,Negative,Not Mentioned
Not Mentioned,Not Mentioned,Positive,Not Mentioned,Not Mentioned
Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Positive
Not Mentioned,Not Mentioned,Positive,Not Mentioned,Positive
Not Mentioned,Not Mentioned,Not Mentioned,Positive,Positive
Not Mentioned,Positive,Not Mentioned,Not Mentioned,Neutral
Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Positive
Not Mentioned,Positive,Not Mentioned,Not Mentioned,Positive
Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Positive
Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Positive
Not Mentioned,Positive,Not Mentioned,Positive,Not Mentioned
Not Mentioned,Not Mentioned,Neutral,Not Mentioned,Not Mentioned
Not Mentioned,Not Mentioned,Neutral,Not Mentioned,Not Mentioned
Not Mentioned,Not Mentioned,Positive,Positive,Positive
Not Mentioned,Positive,Not Mentioned,Positive,Positive
Not Mentioned,Not Mentioned,Positive,Not Mentioned,Positive
Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Positive
Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned
Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
Not Mentioned,Positive,Not Mentioned,Not Mentioned,Positive
Not Mentioned,Positive,Not Mentioned,Not Mentioned,Positive
Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
Not Mentioned,Negative,Neutral,Not Mentioned,Positive
Not Mentioned,Negative,Negative,Positive,Not Mentioned
Not Mentioned,Not Mentioned,Neutral,Not Mentioned,Positive
