location,service,price,environment,dish
Not Mentioned,Positive,Positive,Not Mentioned,Positive
Not Mentioned,Positive,Not Mentioned,Positive,Not Mentioned
Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned
Not Mentioned,Positive,Not Mentioned,Positive,Positive
Not Mentioned,Positive,Not Mentioned,Positive,Positive
Not Mentioned,Positive,Positive,Not Mentioned,Positive
Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Positive
Not Mentioned,Neutral,Not Mentioned,Not Mentioned,Positive
Not Mentioned,Positive,Not Mentioned,Not Mentioned,Not Mentioned
Not Mentioned,Positive,Not Mentioned,Positive,Positive
Not Mentioned,Negative,Positive,Not Mentioned,Not Mentioned
Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Positive
Not Mentioned,Positive,Not Mentioned,Not Mentioned,Positive
Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Positive
Not Mentioned,Not Mentioned,Positive,Not Mentioned,Not Mentioned
Not Mentioned,Negative,Not Mentioned,Not Mentioned,Positive
Not Mentioned,Positive,Not Mentioned,Not Mentioned,Positive
Not Mentioned,Negative,Not Mentioned,Not Mentioned,Negative
Not Mentioned,Not Mentioned,Not Mentioned,Positive,Positive
Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Positive
Not Mentioned,Not Mentioned,Not Mentioned,Negative,Not Mentioned
Not Mentioned,Positive,Not Mentioned,Not Mentioned,Not Mentioned
Not Mentioned,Not Mentioned,Not Mentioned,Positive,Neutral
Not Mentioned,Positive,Not Mentioned,Not Mentioned,Positive
Not Mentioned,Not Mentioned,Neutral,Not Mentioned,Negative
Not Mentioned,Positive,Not Mentioned,Not Mentioned,Not Mentioned
Not Mentioned,Positive,Not Mentioned,Not Mentioned,Not Mentioned
Not Mentioned,Positive,Not Mentioned,Not Mentioned,Neutral
Not Mentioned,Not Mentioned,Positive,Not Mentioned,Not Mentioned
