ID,reviews,location,service,price,environment,dish
1,"菜品选择很丰富，都还算比较新鲜。
环境还挺好。
味道就没什么可说了。自己烤烤老烤嫩都是自己弄的。沾碟也自己弄，就是那些腌制的肉类都是简单普通的常规腌制。其他
成品的菜品没有尝所以没有发言权。
服务，服务不够过于懒散积极性没有，服务员一共为我服务了12次。每次我都是谢谢。然后没有一点反馈。而且为我服务时话语也很少，有几次甚至都没有。
整体来说还是挺不错的。值得朋友聚餐或者请客等情况来的地方。",Not Mentioned,Negative,Not Mentioned,Positive,Neutral
2,【口味】吃过最差的自助没有之一，本人是资深的美团吃货一枚，无论去哪里吃饭都爱美团看看，会挑选平台销量前三名的去尝试，基本每次都不会失望，这次是去大连过周末，依旧按照个人习惯选择了这个销量较高的～评价难道是刷出来的好评么？还是欺负我一个外地人呢？7点半入场，前台并未告诉我8点以后菜品会供应不全～现在想想不告诉我也对，如果有这个提示，想必他们会损失很多客流…8点05分左右取餐到螃蟹的时候，并没有螃蟹，询问服务员，告知一会上，索性回去等！过了5分钟再过去，还是没有，寻思拿点青虾，盘子也是空的，询问服务员还是那句话:一会上！8点30分左右，再次过去取，服务员告知，还是上螃蟹的人吃饭去了，让我等，刚要走的时候，那个大哥回来了，回答我说:今天的螃蟹没有了，这里有死的，能吃就吃，不能吃也没办法了！一气之下，去前台找人理论，给我的回复和服务员一样，有死的可以吃，告知我是今早死的，吃了没事。我问他:我吃了有事你负责么？人家不语～还告诉我8点以后菜品就供9应不足了！你们营业时间到10点，我7点32进来的，规定用餐时间为2个30分钟，试问你们为什么在我进来消费的时候没有温馨提示呢？？？？？欺负外地人么？？？,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Negative
3,每次几乎都要排队，菜品种类比较多，品质就还好，冰淇淋味道一般，但很适合吃完饭后解腻，尤其是吃完烤肉。涮火锅的小锅大小有点不够用，蟹子啥的有时并不能放几只，有点不方便。海蛎子在非周末时比较小，不如周末的品质。,Not Mentioned,Neutral,Not Mentioned,Not Mentioned,Negative
4,"真的啥也不想说，一般我很少给评价只要过的去，我都不想打麻烦，这次实在太差了，先说梅肉一点也不好烤完咬不动，再就是去拿北极虾的时候，没有了，我就问了就那位大叔能加点吗，人家给我甩脸色，一脸的不愿意啊，我想说我花钱进去吃的，我又不是要饭的，几个意思，我少花钱了吗？越来越差了。我去的
【服务】
【口味】时候四点什么都没有了，我就问服务员怎么都没有了，结果人家回复我四点半才上谁让你现在来的，没东西我付钱的时候你倒是告诉我啊，我可以不来的，真的服务员都是大爷。",Not Mentioned,Negative,Not Mentioned,Not Mentioned,Negative
5,以前感觉他家还不错 但是这次去真的是很失望  价格贵了就不说了 现在物价上涨了 都可以理解 但是这东西种类也太少了 牛肉 羊肉的味道是一点也吃不出来呀 饮料更是兑水兑的喝不出来是什么饮料了  服务就更不用说了 太差了 叫服务员根本就没人搭理  哎太失望了,Not Mentioned,Negative,Negative,Not Mentioned,Negative
6,海鲜不新鲜，虾都是冷冻虾很久的那种，只要是贝壳类的里面很多沙子，生蚝很小一个，螃蟹也是没有肉的螃蟹，想吃海鲜的话不建议去，其他的菜品一般，而且还没吃完没到时间，就被服务员用一遍一遍的催促，然后离开了，只吃了一个小时出来了，晚上是这种情况，不知道中午会不会被催促,Not Mentioned,Negative,Not Mentioned,Negative,Negative
7,还不错 十一期间去的 上菜快 河蟹也挺肥 就是餐具感觉不太干净 拿的时候 需要仔细看看,Not Mentioned,Positive,Not Mentioned,Negative,Positive
8,菜品种类不是特多，下午两点去的，赶上服务人员休息，有些菜品都剩底了，还好多都是凉的，尤其炸品又凉又硬，还在调料区辣椒圈发现了头发，找旁边炸品区的大叔，大叔告诉我不归他管，让我找别人，然后低头玩手机了，呵呵真有意思！！！没办法自己绕了半圈找到服务人员，这主管大哥还挺好的给我找人新切了，整个用餐过程属于两个服务大哥最好了，还算是欣慰??下面这张图片就是，别以为我扒瞎！,Not Mentioned,Positive,Not Mentioned,Negative,Neutral
9,"餐厅内服务生很好，不过前台的服务员就差劲啦。
去时，一个擦拭手机，柜台内一个高高在上的样子。
前台里那位看过团购码后，伸手要20元每位，我说团购不是写10元押金一位吗？
她翻愣我一眼，“我家就是20，想吃就这样”。一下子就把我弄郁闷了

室内油烟很大。飞虫很多，也不知哪来的。",Not Mentioned,Negative,Neutral,Negative,Not Mentioned
10,整体环境一般。我去的时候是黄金时间 晚上七点左右。整个用餐环境混乱，菜品味道一般。海鲜基本上没有。烤肉也一般般吧。对不起这个价格。背景音乐声音特别大 很吵。空调应该是开了 但是非常热。怕热的人建议还是别去了。饮品也一般。总之不建议各位去那里吃饭。,Not Mentioned,Not Mentioned,Negative,Negative,Neutral
