ID,reviews,location,service,price,environment,dish
11,爱斯米已经不是以前的爱斯米了，不知道是管理团队更换了，还是经营策略调整了，和其他同等价位的自助餐比较一下，你家菜品数量少的可怜，能拿出手的也就冰虾了，大多数菜品都是鸭肉和内脏还有配菜，现在物价高，经营成本增加是肯定的，不过靠降低菜品的质量和数量还有品质节约成本，提高收入实在不可取，这样下去不知道还能走多远！唯一能值得表扬的是前厅服务员和收银员，服务真诚贴心。,Not Mentioned,Positive,Not Mentioned,Not Mentioned,Negative
13,今天突然想吃牛排，就直接去他家了，结果每叫一次牛排需要等至少20分钟，人也不是那么的多，不催不给上，催完了立马上！拌的凉菜也太差了，啥味道也没有，再也不会去吃你家了！这么干你家这够呛！！严重差评！！,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Negative
27,卫生真的不是一点差，是我吃过最差的自助了，样品极少，给我们上牛排的师傅那衣服估计都快打铁了，上牛排的时候满手油，地上都粘粘的，好像饮料撒了没拖干净，做菜那边的厨师张口就是脏话，我拿菜的时候都尴尬了。嗯体验太差了，要去的小心吧。,Not Mentioned,Negative,Not Mentioned,Negative,Not Mentioned
34,抱歉，牛排不合口味，体验一次比一次差，哎,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
48,上菜速度太忙，来了20多分钟才上来一个，还是糊的，味道还特别咸，实在是太一般了！,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Negative
56,太差了，千万別去，服务特别不好，而且牛肉都臭了还卖，凉菜都酸了，一点也不值这个价，,Not Mentioned,Negative,Negative,Not Mentioned,Negative
64,最差的一家自助没有之一。饮料没有，菜供不上，烧烤放好多辣椒粉，披萨就一款。预订位置也没用，想坐安静点说里面坐不了太分散照顾不到。没过半小时里面就有人坐了，又能照顾到了。点餐得等没有客不忙的时候才会给你点。已经进黑名单了。不会再去了。劝大家去之前先去店里转一圈再订。,Not Mentioned,Negative,Not Mentioned,Negative,Negative
71,第一次来吃，苦菊不干净，筷子拿纸巾搽完，纸巾上是深颜色的，明显没有刷干净。要了全熟牛排，上来还有血水，寿司的米饭简直干死了，哎，总体感觉不好。不会再去了。,Not Mentioned,Not Mentioned,Not Mentioned,Negative,Negative
80,上菜慢死了慢死了慢死了慢死了不说这么多慢还不让发吗,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned
94,买的还是尊贵的，去的也不算太晚，六点多去的，很多菜盘子都是空的，几乎没有啥了，只能吃牛排，但是牛排上的特慢，吃一块要等很久，前两块还是熟的，最后上的牛排，做的都不熟，以后不会再去了,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Neutral
97,价格不一样居然不让坐一桌，以后不会再来了,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned
102,不怎么样，服务员看是团购的都爱搭不理，牛排还没吃完就撤盘，还说别吃了！下次一定不会再去了！,Not Mentioned,Negative,Neutral,Not Mentioned,Not Mentioned
108,好吃，就是人多的时候有些慢，可以理解,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Positive
111,海鲜都是坏的，都吃坏肚子了。菜品也少,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
115,服务态度极其差，进店一圈没有人接待安排座位，自己找了好几个服务员也不理，坐下了半天没人过来点餐，然后又问了两个服务员还是没人过来，顿时失望。整个大连的爱斯米也找不出他家这么差的了。,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned
122,超级难吃牛排太腻环境也不咋地再其他的小菜也非常的咸,Not Mentioned,Not Mentioned,Not Mentioned,Negative,Negative
125,菜品太差，还都是凉的，没有以前好了,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
127,服务特别差，服务员一直在聊天，没有人服务！加餐没有人管！真是有够差哒！不会再来了！这是我的第一次差评！,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned
129,环境一般吧，油烟味道很重，菜的种类较少些，味道还可以吧,Not Mentioned,Not Mentioned,Not Mentioned,Negative,Positive
131,服务不到位，口味也不怎么好，种类少，牛排筋多,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Neutral
132,座位都比较尴尬。买美团态度就……,Not Mentioned,Negative,Neutral,Negative,Not Mentioned
135,媳妇说没吃说爱斯米牛排，今晚去尝尝，非常失望地面非常的滑，上菜的人都能滑倒，五点半吃饭告诉我鱼排没有 通心粉也没有 菜品少有的是凉的 点牛排的也是新人 以后不会再吃，直接影响到我和媳妇的心情 这家牛排被我拉黑。,Not Mentioned,Not Mentioned,Not Mentioned,Negative,Not Mentioned
141,吃饭遇到蟑螂，什么心情都没有了，吓死了,Not Mentioned,Not Mentioned,Not Mentioned,Negative,Not Mentioned
