ID,Reviews,location,service,price,environment,dish
3,一方国际新开的火锅店，位置挺好找的，店内装修也可以！整体菜价稍微有点儿高，菜品种类很多，整体服务态度很好，特别推荐虾滑和汤底，两个人的话吃饱得300左右，用券挺合适的，下次有机会还会光顾！希望能始终如一！,Positive,Positive,Negative,Positive,Positive
5,性价比较低，自助小料价格较高，整体感觉偏贵,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Not Mentioned
6,服务水平极其不敢恭维，服务员问啥啥不知道，外面两台街机不错,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned
7,总体不怎么样吧.消费高.肉很一般.,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Neutral
11,还可以吧。量有点少。小贵。味道可以。,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Negative
12,表面服务热情，等实际细节很差劲，尤其是人前人后两个样，被发现觉得特恶心,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned
16,火锅很好吃，服务也好，就是没有空调！太热了！,Not Mentioned,Positive,Not Mentioned,Negative,Positive
18,最主要是服务太次。说话硬气的服务员特征是穿牛仔裤??，帆布鞋。头发不长也不短,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned
19,小酥肉不好吃，太咸了，没法吃！不香，,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
25,"【环境】内部桌席编号是用的麻将牌名称。卫生间只设一个男女共用的蹲位，等死人。
【趣事】我头回见它的招牌，为何误认为唇辣美那么久？??????
【口味】不可点半份，不灵活。自助水果有西瓜，可惜提供几次就没了，服务员直言不讳太贵了。酸梅汤免费赠饮续杯。鸭血和鸭肠腥味大。麻辣牛肉片把我辣懵了。牛蹄筋感觉不太新鲜，而且特别难嚼。蔬菜和糍粑不错。牛油辣椒锅底很正。",Not Mentioned,Neutral,Negative,Negative,Neutral
27,红糖糍粑不是现做的，酥肉也不是太好吃。牛肉不错，就是性价比稍微有点低,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Neutral
29,我是会员并不知道中午团购50抵100，结账的时候服务人员也不告知，我就继续用会员号结账，88折比会员价多花了55！！！！！有这种活动服务员不应该提前告知么？而且会员并没什么用，跟团购一样88折，给的肚卷好多张。根本咬不动！！！,Not Mentioned,Negative,Negative,Not Mentioned,Not Mentioned
31,"【环境】在万达一方影城旁边，路过无数次，终于下定决心在离开大连之前，以给胡越饯行的方式，尝一尝。
【服务】当然跟海底捞没法比啦。
【等位】中午没什么人为啥不给我安排带秋千的座位？
【口味】号称加矿泉水的火锅，农夫山泉。",PositiveC16,Negative,Not Mentioned,Not Mentioned,Neutral
32,双拼牛肉一点都不嫩，不好吃，番茄的锅底比较推荐，是用中午的午餐50抵100的劵结的，去之前特意打电话问，服务员告诉下午两点之前进店就可以用，结账的时候被告知是要在两点前结账才可以用，虽然最后给我用劵结的，但是服务感受不是很好，服务员自己都没弄明白！！菜品还不错,Not Mentioned,Negative,Positive,Not Mentioned,Positive
34,"还行吧，
【服务】我们点的鸳鸯火锅，我吃的有些辣，就想到点水涮一下，（旁边有一大瓶农夫山泉写的加汤水）我刚打开瓶盖倒水，服务员就过来说，这水不能喝，我就问为什么，她说是加汤水，我说不是农夫山泉吗，她说是，但是是汤底水，（我心里想农夫山泉是矿泉水怎么不能喝，）我说，没事，就喝这个汤底水了，然后服务员就来了一句，那你喝吧，语气很重，扭头就走了，我一脸懵
【服务】结账的时候有一个88待100的代金券，我们一共花了296然后收银台和我说你可以买3张，我就问那还有4块钱呢，他们我们家不找零，那我们说拿一个水吧，他们说代金券是酒水除外的，后来朋友说4块钱给他们了，不要了
真是是很差的体验，以前也去过，但是我拿水的时候，服务员就提醒一下，没有很强硬的告诉我你不能喝，服务这样，真是不想在去了，",Not Mentioned,Negative,Neutral,Not Mentioned,Not Mentioned
35,加锅底加到洗洁精，虾滑内吃到两根睫毛，管理卫生真是太差了，厨师长拒不认账，经理拒绝出面解决，已经打12315投诉，并且照相取证，有图有真相。,Not Mentioned,Negative,Not Mentioned,Negative,Not Mentioned
52,挺好吃的，就是有点贵,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
58,吃过他家很多次了，他家味道确实不错，但是你家收银员是不是该好好培训下啊，消费694，网上有8.8的券，要买7张，我一算700，我还没团完，她也没给我算结账，我说再来听可乐，收银员竟然说不行，不能凑单，只能点菜，我去，我都吃完了你让我点菜回家吃啊，还有凑单是什么意思，说我要点可乐必须坐在桌子上才能点，我真的没明白，我是顾客难道不是想点什么就点什么么，点个可乐还规定位置啊，真是服了。虽然后来店长来解决了，但是从吃饭开始一直很开心，结账的时候闹的不开心，这真的是特别小的一件事情，没能明白收银员的想法，还是你家就这样，下次吃完了还得自己算算，可千万别离开桌子，离开了只能点菜，不能点饮料！,Not Mentioned,Negative,Neutral,Not Mentioned,Positive
59,没吃完 服务员总来关我的火..小料没说点 自动加了 还是说退才行 盆友圈集18赞赠羊肉也没提前告知 肉略薄 下锅找不到 团购的券 不然觉得贵了点 环境还不错 放菜的小桌子拿东西不是很方便 总体还可以,Not Mentioned,Negative,Negative,Positive,Not Mentioned
62,环境很好 服务也很到位，火锅很好吃啊，就是有点小贵啦～??,Not Mentioned,Positive,Negative,Positive,Positive
63,味道真的是不错，菜量也还可以，酸梅汤免费而且可以无限畅饮，但是后来没有了也没告诉我们，把杯子拿走了也没给我们上点水什么的，其他都还好吧，东西都很新鲜，推荐鸭血，鸭肠，猪脑，黄喉，手切羊肉，麻辣牛肉，贡菜，豆腐…,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Positive
69,味道是真的正宗，就是有点小贵。,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
70,消费高，火锅都大同小异，菜量一般，俩人花了480多，喝了五六瓶酒，肉都在4 5十一盘。,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Neutral
76,有点小贵，味道不错，红糖糍粑好吃,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
79,停车不用担心，菜品口味一般，价格小贵，没看出特色。,Not Mentioned,Positive,Negative,Not Mentioned,Neutral
