ID,reviews,location,service,price,environment,dish
3,"服务态度太差，一开始觉得不错，领位领位小姐姐态度很好，药了一个大锅的坐位，一开始拿螃蟹有一个女服务员给了一个小锅，但是第二次拿，窗边负责的一位男服务员，（是为穿黑衣服的老大爷）特征说话不利索，态度非常差，说不给，不给就好好说话，态度非常不好，凭啥一开始给了，后来就不给，请问这种服务员你们店还要，不觉得有点……你们店可真是啥人都要，西安路店的态度很好，怎么你们店的就不好，你们店培训太差，作为服务行业麻烦好好培训员工素质，还有这件事麻烦请你们店的负责人给我回个电话，事情没完，好好一顿饭都搅和了，男服务照片如下
【服务】",Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned
11,来大连旅游，这家店本身自助价格不高，比哈尔滨便宜一半，一家三人来海边玩因为带孩子所以选择自助，样数多、但是孩子不吃火锅，只吃2块寿司就饱了，孩子身高刚到140店家就迫不及待的收成人票、尤其收银员，70多一位的价格很便宜根本不算什么，但是心理觉得很不舒服。住五星酒店的88元的早餐自助看见儿童都没过问、所以这家店的服务表示不满,Not Mentioned,Negative,Positive,Not Mentioned,Not Mentioned
17,菜品挺好的，人太多了，等了老长时间了，过节了人太多,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Positive
19,非常不满意的一次，第一美团现在没有监督了吗，就这个服务对得起消费者对你们的信任吗？第二菜品非常不丰富，热菜10道，凉菜10到，酒水10样，甜品10样，第三我们七点去的，当时菜品已经空了，到九点半一直没有在添加，哦，不对，添加了，中途用盆添加了点炒饭，大约在八点十五左右，第四酒水样数少就算了，没有一点品质，兑的都是水，啤酒和鸡尾酒还没有凉的，第五罐头的样数是很多，大家取走自己喜欢吃的空了根本就不添加，第六凉菜，那个女的是谁，凉菜主管吗，东西没有了你看不见吗，你用夹子去摆弄什么玩意，第七巴西烂肉那个老头，怕影响他下班，你去拿烤肉，恨不得把他剩那些都给你，第八蘸酱区，麻将一点香味没有，稀释的和水一样，腐乳汁，韭菜花酱除了咸，其他味道没有，最基本的小米辣都没有，第九海鲜，重点来了，螃蟹屎都出来不能把盒子换换吗，那螃蟹小的不能在小了，海鲜有小青虾死的，天鹅蛋，小扇贝，海虹，花蛤，文蛤，花蚬子，还有点掉了腿死了的小龙虾，第十海鲜的质量，各3位如果想挑战一下自己的身体，感觉胃口好的，海鲜除了那个小螃蟹都是死的，第十一，七点以后去的，吃完饭还要从地下室爬到楼上，没有电梯给你用，就算爬地下室，你能不能弄个指示牌，最后一点七点以后菜品没有拉倒，不添加，都是一次性的，最***让人生气的，八点多点就开始把所有的东西全部撤掉，不管你是来了两个小时的，还是刚来的，这***是什么玩意，美团不管吗，死海鲜能吃吗，,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Negative
22,我们一共四个人，吃完回来三个坏肚子的，以前也经常去，从来没发生过，昨天全家一晚上没睡，净跑卫生间了，拉肚子特别厉害的那种，，妈妈也说再也不会去了，越来越差，我们全家没去店里找店家，谁都不容易，希望饭店能对客人负起责任,Not Mentioned,Not Mentioned,Not Mentioned,Negative,Not Mentioned
26,这家只能涮，不能烤，价格也其他店便宜点，但东西不是很好，还是建议去其他店。,Not Mentioned,Not Mentioned,Neutral,Not Mentioned,Negative
31,海鲜自助，海鲜太少了，活的海鲜也是更少,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
36,好久没去了   今天去吃了有点后悔  东西还是那些东西 但却吃不进去了,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
41,原来经常来，今天是最最失望的 。门口接待的态度极差，无论多么温柔的态度问她 她竟然不理会我，如果有其他顾客我可以理解，她是在和旁边的员工聊天 不理会顾客  真心是太过分而且 我说了两遍 不到一米距离，  我只需要她回答是或不是，这么难吗？我花钱来受罪吗？算了，素质决定她的工作性质。,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned
45,海鲜的种类很多。菜品肉类水果都挺多的。就是海鲜不太新鲜，螃蟹，生蚝还有贝壳类的东西吃着都味道不大对劲。羊肉汤之类的膳味都太重了。服务跟不上，倒垃圾的人半天都不过来。,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Neutral
