ID,reviews,location,service,price,environment,dish
6,菜量小，口味一般…………菜品也少了！！！！,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
7,味道太差，菜品份量比较少，口感太差,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
17,不好吃一般，挺贵服务也一般，菜一般,Not Mentioned,Neutral,Negative,Not Mentioned,Neutral
18,菜品不多，而且点了几样都没有，上菜很慢，米饭都供不上,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Negative
28,酸汤鱼半碗全是金针菇 豆角茄子都把豆角炸没了,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
39,菜品很好吃，但是美中不足，服务员差评，在后台看电脑的那个女服务生态度超级差，问美团的代金券怎么用，态度特别不好，“哦，直接去柜台，走吧” 我跟小伙伴都惊呆了 #干锅有机花菜# #石锅豆腐鱼#,Not Mentioned,Negative,Neutral,Not Mentioned,Positive
44,菜的分量太少了，味道还可以，环境比较安静。,Not Mentioned,Not Mentioned,Not Mentioned,Positive,Negative
47,菜品还可以，不过有个菜等了30分钟还没上，上来了一点咸淡都没有，在不会去那家了。,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Positive
48,油也太大的了，吃着都腻，服务态度还不好，就这一锤子买卖吧！,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Negative
49,还可以，菜量小，没有之前好了。,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
50,还可以吧、有次在干锅娃娃菜里吃出了条虫子、心里求阴影面积～,Not Mentioned,Not Mentioned,Not Mentioned,Negative,Neutral
57,姐夫的小菜里面传菜的服务生也不看人端个大托盘就往人身上撞，无语了，千万别吃海鲜炒饭，超级难吃，收银的服务员真是个慢性子啊，能急死个人，不如万达的店,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Negative
58,菜的味道很好，但是在吃饭的时候居然在旁边的墙上发现了一只蟑螂，喊服务员给处理了。,Not Mentioned,Neutral,Not Mentioned,Negative,Positive
62,微微小贵，鱼头的料好吃，鱼头有土星味,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
67,那个鱼头要辣死朕了，鱼头挺大、其他菜量小,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
89,太贵了，量太少,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Negative
91,味道还好就是服务员态度不是很好。,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Neutral
92,我们坐在垃圾车旁边？而且店内的店员简直清闲，垃圾车在旁边，说让换个地方放，人家的说辞是没有别的地方了，只能放在那儿了。,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned
119,好吃不贵就在单位附近，！！！！用餐环境有点暗,Not Mentioned,Not Mentioned,Positive,Negative,Positive
145,不是很满意，来他家好多回了，一直不了解会员是怎么办的，会员有优惠，服务员也不介绍一下,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned
177,菜改进了不少 蒜蓉跳跳虾量小了一些 油不像以前那么大了 剁椒鱼头味道很棒,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
196,服务不错，菜品好吃就是量太小了，建议实惠点。,Not Mentioned,Positive,Negative,Not Mentioned,Neutral
203,酸奶瓶居然收了10元钱，上酸奶的时候都没告诉！,Not Mentioned,Negative,Negative,Not Mentioned,Not Mentioned
216,菜量比较小，价格偏贵，不过服务员服务很棒,Not Mentioned,Positive,Negative,Not Mentioned,Negative
227,菜的油太大，炒饭太硬，红烧肉香料味道太重不好吃,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
236,味道还行，和服务员之间不是很愉快，可能是我也是做服务行业的 职业病犯了 看到做的不足的地方就不爽了吧！,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Positive
243,好吃的什么都没剩下好吃的什么都没剩下好吃的什么都没剩下,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
250,服务真的没说的，只是菜真的很难吃，第一回差评，以后不会再吃了！,Not Mentioned,Positive,Not Mentioned,Not Mentioned,Negative
251,菜味道还行吧，菜量可小了，环境还好。,Not Mentioned,Not Mentioned,Not Mentioned,Positive,Negative
269,服务员态度特别差，要不是朋友想去，我根本不会去，本来就没啥好吃的，服务态度还差,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned
281,环境很好，菜略贵，菜很漂亮做的,Not Mentioned,Not Mentioned,Negative,Positive,Positive
286,有机花菜好吃，油条菠萝有点硬，小炒肉还是一贯的味道！叫了三次打包才有人过来，明明都听见了转身走了，服务态度有待加强，环境还是挺喜欢的.,Not Mentioned,Negative,Not Mentioned,Positive,Neutral
