ID,reviews,location,service,price,environment,dish
5,我不知道这条评论能不能让老板看到，但我觉得还是有必要说的，首先我昨天去的时候已经9点了。人没到齐，所以大概九点半多了才上的菜，后来服务生就一遍遍的问加不加菜了加不加菜了，处于不好意思又加了251块钱的东西，OK，然后吃到十点20多的时候服务员一直催说他们已经下班了，希望我们快点！催了三遍！首先！我们吃上的时候就已经10点了，半个小时的时间老板走了就一直催我们！！我处于朋友在我做东所以我没有翻脸，不然我真的骂回去！记得很清楚是一个小姑娘，个不高，长得也不漂亮！考虑到服务员不容易我确实没有翻脸！快速吃完离开了！但我想说，下次绝对不会再去了！老板娘很好！服务生差的要命！真的是奇葩了！希望老板娘能重视下！服务的不要那么横！,Not Mentioned,Negative,Neutral,Not Mentioned,Not Mentioned
8,团购量少 单点很贵 性价比很低 我们三个人去的 环境差 看起来很脏 杯子也不干净 为什么能排名这么高 还5分 花钱刷了吧？从来不评价 今天必须得评价一下 大老远开车过去吃 明显被点评骗了 所以希望别有人跟我一样被骗了 吃的不开心决定下次不再去了 图片我都懒得照！,Not Mentioned,Not Mentioned,Negative,Negative,Negative
9,菜品很丰富，服务态度也很好，味道依旧是那么吸引人，环境优美卫生干净，只是肉比以前薄了不少啊，难怪了，现在的猪肉都是50大元一斤了更不说牛肉了，下次还得来，,Not Mentioned,Positive,Negative,Positive,Neutral
11,没有以前好了服务不好菜品也差了太多买的4-6的套餐299还4-6个人量三个人刚刚够菜量太小了不说凉菜就占了一半没有煮食肉没有正常单点的多根本不合适我们四个人又单点了不到200块钱的东西少就少吧我给你传图看看啊玉米饼现在做的什么样啊拿个铁板锅给我上的玉米饼好像别人吃剩下的以后不会在去了大家也注意点吧服务不好菜量小的可以花钱单点上的好像别人剩下的要啥啥没有四个人花了不到500块钱我去哪不能吃饭分享给要去的朋友,Not Mentioned,Negative,Neutral,Not Mentioned,Negative
12,"等朋友下班一起吃饭，所以提前去排坐来着，大概五点半多到店的  人不是特别多，正好有座，店里的服务人员安排就坐后立刻给上了一份蘸料和菜单  
店内的空调特别给力，待了一会儿就觉得特别冷 ！
店内环境还比较好，虽然是烤肉，但，没有什么烟 不呛人   
跟朋友两个人吃，点了一个299的套餐  肉蛮多的，因为看评论说 两人套餐分量小，吃不饱  所以，害怕不够吃  干脆来四人份套餐  
肉的口感还可以，就是个别的肉肉 不知道是本身问题还是服务员帮忙烤老了  嚼不动啊  有筋一类的东西  77的牛排  呃，感觉一般般  不是特别出人意料的惊喜   套餐里的凉菜也凑合  
从上菜开始，有一个服务员一直帮忙在烤肉，速度手法特别娴熟  然而，我们吃的速度太慢了  等她全都烤好离开 我才吃了一部分  屋内空调还那么冷，等我们吃的时候 肉肉的口感就不是那么理想了  这个问题我们以后吃饭会注意   
总体来说，还不错的一家店  
祝:生意兴隆，越做越好 ? #雪龙高级肉块# #老醋双脆拌苦菊# #雪花去骨小排# #老醋四样# #安格斯雪花肥牛#",Not Mentioned,Negative,Neutral,Positive,Neutral
14,菜品不好吃，服务也不好，我要是老板的话，我需要重新停业整顿！！味道很奇怪！真的也不知道为啥能评为必吃餐厅！真的太差劲了??,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Negative
15,我们团的是197那个套餐，显示正价是400多，上完菜真的让人震惊了，一个十多年的老店居然玩路子坑消费者，牛仔骨三块，肉食有异味的还是放置很长时间的，说说那个雪龙，连牛五花都赶不上，六薄片，肉烤完了发渣，还有那可怜的牛肋条，真的不敢恭维。沙拉就是菜叶子配点可怜的酱料，说说那个海鲜汤吧，一共俩蚬子肉，全是蔬菜的边角料。土豆片是凉的烤好之后上的。由于太差劲投诉了，服务员的态度非常好，又赠送了两碗没蒸熟的鸡蛋糕，和一盘沙拉，然后经理来了送了一盘我认为是可以吃的牛仔骨六小块。这个差评是让店家知道一个道理，你做团购也好打折也好不管怎么样，要做好品质，这个世界没人是傻子，你拿那些臭虾烂肉来坑消费者只会砸了你十多年建立起来的招牌，真的是缺德,Not Mentioned,Positive,Neutral,Not Mentioned,Negative
21,看过别人的评价，是菜都是一起上的，一盘菜压着另一盘菜，果真是的。你后厨什么卫生我看不到，上菜还这样说不过去了。而且不是一个两个评论，看起来店家压根没想改进。另外说下服务员，就是满不在乎的那种感觉，你爱吃不吃，我就干自己的活。有空位还等了半天。,Not Mentioned,Negative,Not Mentioned,Negative,Not Mentioned
24,点的套餐，对我俩来说，不太够吃、肉有点少，肉质口感很好，服务好,Not Mentioned,Positive,Not Mentioned,Not Mentioned,Negative
26,肉挺好吃的 服务员服务的也非常周到并且会和客人聊天 就是西瓜汁48有点贵了 不是很好喝,Not Mentioned,Positive,Negative,Not Mentioned,Neutral
42,量太小简直是少的可怜，四到六人的套餐，两个人都不够吃。,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
45,还行吧，，能吃的这点不太够吃，，，，，，,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
50,垃圾服务  你们那个服务员是不给工资的吗，验券不搭理我们，带个金链子感觉牛气哄哄的，这种人做什么服务行业啊，上菜十分钟，直接把我们三盘肉全烤了，之后用一个陈述句告诉我们，我把炉子撤了啊，之后就把炭火撤了，垃圾,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned
51,菜品原味本人到能接受，属实两个豆腐都好难吃，还有服务方面，点完菜以后过了10分钟左右本人跟服务员说加个可乐，结果单子下了20分钟没上来，服务员都在聊天，我又说了一遍才给拿来，吃个饭到谁家都行，但是想有回头客的话，希望老板看到纠正一下人员的责任心与菜品,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Negative
52,直接差评，我在美团上看到的，四个人去的，先不说别的，服务态度差到家，大过年的我不想差评，店里不忙，所有人只顾着着急下班，没人服务，肉全烤糊了，四个人，三人拉稀，怀疑是肉，还有是要的白开水，是***开水？？热水器水你们自己留着喝喝去，趁早点关门，希望看到评论的别去尝试，贵就说啥了，我吃的起，味道差也不说啥了，没关系，服务态度我***要饭的啊？花三四百，作为餐厅老板，如果看到此评价，你自己反思一下，店还能不能开下去,Not Mentioned,Negative,Negative,Not Mentioned,Negative
63,肉质量还不错，数量少，尤其是大虾质量比较差，不推荐，性价比不高,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Negative
64,虾不知道冻了多久。量太小。性价比很一般 #大虾#,Not Mentioned,Not Mentioned,Neutral,Not Mentioned,Negative
65,味道一般吧就是4个人根本都没吃饱，菜量太小了，之后又点的别的吃的,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
74,很喜欢吃 价位在低一点就更好啦 牛尾汤很好喝 虾也很大 就是蔬菜沙拉不爱吃 其他都不错啦 #LA调味牛排# #胶原滋补牛尾汤# #煎地瓜片#,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
82,味道还可以，菜量太少，4-6人量根部不够吃，最多3个人吃,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
