ID,reviews,location,service,price,environment,dish
4,店面很小，点了个双人套餐，又点了个辛拉面，但菜单显示的价钱比实际价格完全不符！！！卖家说菜单的价格是纯包装的，而我点的煮辛拉面，却是22！！！不知道咋说，难道煮一下需要14？？？,Not Mentioned,Not Mentioned,Negative,Negative,Not Mentioned
6,环境特别差，糯米也没熟，好像吃了个假鸡汤,Not Mentioned,Not Mentioned,Not Mentioned,Negative,Negative
23,服务态度不好 一听我要美团 还吓唬客人 服务就变低了 本来是一只鸡汤 就给半只 点的菜量也少了 环境一般 没法再去了 地方也不好找 打车也找不到,Negative,Negative,Not Mentioned,Neutral,Negative
24,他家现在搬家了，之前真的是大连做好吃的参鸡汤没有之一，现在不敢恭维，今天中午点的外卖，有可能是在店里趁热喝口感最好吧，今天吃着鸡肉和里面的糯米有一股子冰柜的味道，很失望啊！希望这家参鸡汤千万别走下坡路，否则以后在大连想喝好喝的参鸡汤恐怕难喽！,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
42,和我在沈阳西塔和的很不不是一个味道！而且小白种类少，给的也少！不划算，味道也不好，喝了几口，剩下一大碗汤，肌肉基本没吃，口感相当不好??,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Negative
50,海鲜炒饭很好吃，只不过店铺的位置真的超级难找，找了快半个小时……靠导航根本找不到，参鸡汤味道很鲜，里面有糯米和人参还有枸杞，冬天喝点热乎乎的汤真的很棒，小菜也很好吃，最喜欢的还是海鲜炒饭了，有蟹棒鱿鱼味道不错，有机会还想去,Negative,Not Mentioned,Not Mentioned,Not Mentioned,Positive
62,吃出异物  退款态度不好，没吃完饭服务员都拿被睡觉了，你要是到下午休息你就别接待了呗,Not Mentioned,Negative,Not Mentioned,Negative,Not Mentioned
64,味道很好  牛脊骨很大，肉很多  但是很烂呼  很好吃  两个人吃一份小的完全吃不完   就是米饭5块钱一份  方便面八块钱一份有一些贵，不过有团购了就还好,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
81,差评！！！团购的和直接到店的脊骨根本差太多！第一次和朋友去吃完之后才告诉用美团，这几次是点菜之前就告诉用美团卷，结果里面的脊骨差别太大了，提醒各位一定不要吃之前就告诉用美团卷！！！大了说就是欺骗顾客了，那干脆就不要设置团购好了！找服务员理论，却说什么脊骨都是称好的。就呵呵了，重量都一样，团购的就都给大骨头！！！小菜就给一点点酱，让服务员加点，结果都快吃完了才加，一直都在忙活包间里的客人。怎么，外面的散桌的就不是你的客人了么！服务员态度也十分强硬，一直再说：我跟你说，我告诉你什么的！而且还涨价了，之前是58元的！差评！！！ #脊骨火锅#,Not Mentioned,Negative,Negative,Not Mentioned,Not Mentioned
90,地方不好找 其余都很好 俩人吃够了,Negative,Not Mentioned,Not Mentioned,Not Mentioned,Positive
