ID,reviews,sentiment,sentiment,sentiment,sentiment,sentiment
4,有点小贵，但是菜品都不错，麻辣牛肉推荐，另外吐槽一下座椅，没有靠背,Not Mentioned,Not Mentioned,Negative,Negative,Positive
6,偏贵，佐料太少了，服务心不在焉，唉,Not Mentioned,Negative,Negative,Not Mentioned,Not Mentioned
8,没原来好吃了，菜品也越来越敷衍,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
9,还可以吧，价格小贵，人不多，消费相对于同类火锅比较高,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Not Mentioned
10,"牛油辣锅为什么越煮越苦呢
在里面煮面条，面条都是苦的???",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
17,蛮好吃的，不好停车。味道无功无过，吃不吃都行的那种火锅。,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Positive
18,商家玩不起，打折券不让用。商家玩不起，打折券不让用。商家玩不起，打折券不让用,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Not Mentioned
21,点完了，根本就忘了给上菜了，太差了！今天才想起来,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned
25,服务员推荐的不能买，一点不实惠，上菜也很慢,Not Mentioned,Negative,Negative,Not Mentioned,Not Mentioned
37,小料种类太少，苍蝇，飞虫在小料里飞，吃的恶心了,Not Mentioned,Not Mentioned,Not Mentioned,Negative,Negative
39,还行还行，就是促销优惠有不真诚的嫌疑,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
49,小酥肉收了两份钱，9块9是噱头啊,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Not Mentioned
51,第一次吃小龙坎，地理位置有点偏僻，不挨着商圈，一直喜欢川味火锅，这次来了小龙坎，环境不错，服务人员也挺机灵的，单品价格有点小贵，但是用了29代100的券就补回来了，锅底很香，吃着也挺舒服的。挺满意的。,Negative,Positive,Negative,Positive,Positive
54,太辣了  出来辣什么味道都没有   如果能吃辣的可以去尝试一下,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
57,餐厅位置还是挺好找到的，环境不错装修的风格和四川的一模一样，龙泉店人还是比较少一点，吃饭的时间不需要排队，这点很好，味道还是很地道的尤其喜欢番茄底锅，超级好吃，就是菜品价位有一些高，在这吃一次相当于在四川吃两次了，还是挺推荐大家来尝一尝的,Positive,Positive,Negative,Positive,Positive
67,"【口味】要的鸳鸯锅，但是辣锅超级赞，清汤没怎么吃，强推毛肚，嫩牛也不错，鸭肠莫名觉得有点儿腥。
【环境】环境还可以吧，空调对着锅吹，导致空调风带着辣油吹了一脸，两边的座位都没办法坐。
【服务】服务员挺忙的，开始时候还可以，都坐满了以后就找不到人了。",Not Mentioned,Neutral,Not Mentioned,Negative,Positive
82,性价比真的很低，味道一般，价格还死贵,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Neutral
