col1,col2,col3
整体菜价稍微有点儿高,,
性价比较低,自助小料价格较高,
服务水平极其不敢恭维,,
量有点少,,
等实际细节很差劲,,
小酥肉不好吃,太咸了,
牛蹄筋感觉不太新鲜,,
酥肉也不是太好吃,,
有这种活动服务员不应该提前告知么,,
但是服务感受不是很好,,
不要了真是是很差的体验,,
菜量也还可以,,
消费高,菜量一般,
菜品口味一般,价格小贵,价格小贵
和老公还有小伙伴一起四个人来吃的,,
辣的很过瘾,就是价位有些高,还会再去的
服务比较满意,火锅味道属实是差了一些,价格也不便宜
分量也可以,,
然后价位也不低,反正一般,
服务员人手也不够,,
价格不便宜,,
收银员服务态度很差,,
价格不亲民,,
价格很贵,,
菜品都很贵,,
同事聚会,,
量不多,,
除了咸没什么,,
黄喉一般,,
味道一般,价格偏贵,
我肚子一般挺狠的,,
他家的特色牛肉真的不好吃,,
价格小贵,价格小贵,
辣的够味,,
收银员服务极差,,
价位不低,,
他家消费是挺高的,,
服务不是很好,,
就是价格贵,,
价钱蛮高的,,
就是贵味道还非常一般,这个价钱还不如去吃海底捞,
服务差,叫服务员都没有人理你,
就是价格不便宜,,
我喜欢吃辣,朋友圈超给力,
菜量太小,别的锅一点也不好吃,服务太差
稍贵一点,位置不是好找,
吊着的椅子不舒服,,
一开始态度不好也不坏,服务员态度就很差,服务员态度就很差
