
"('性价比', '低')"
"('服务态度', '服务态度一般')"

"('量', '少')","('味道', '味道不错')"


"('服务人员', '服务人员一般')"
"('酥肉', '不好吃')","('味道', '咸')"
"('感觉', '不太新鲜')"

"('服务人员', '服务人员一般')"

"('服务态度', '差')"
"('体验', '差')"
"('管理一般', '')"

"('收银员一般', '')","('收银员一般', '')"















"('价位', '不低')"
"('服务人员', '服务人员一般')"












"('同事', '聚会')"


"('量', '不多')"
"('牛肉', '咸')"










"('服务态度', '服务态度一般')"
"('价位', '不低')"



"('服务态度', '差')"






"('价格', '价格昂贵')"
"('服务态度', '差')","('服务人员', '服务人员一般')"


"('锅', '不好吃')","('服务态度', '差')"



"('服务态度', '差')"

