model,w-precision,w-recall,w-f1,precision,recall,f1,acc
bayes,0.7131219,0.727447217,0.714311949,0.682968388,0.650523947,0.659014818,0.727447217
bayes,0.769902524,0.762380038,0.764158466,0.755564553,0.763352783,0.757379048,0.762380038
bayes,0.718038912,0.692898273,0.695238431,0.698984535,0.705237361,0.691691166,0.692898273
bayes,0.729742878,0.672552783,0.686274213,0.652500054,0.681170691,0.649208983,0.672552783
bayes,0.623138299,0.411516315,0.424100971,0.505352234,0.505948151,0.410092057,0.411516315
bayes,0.829515865,0.508637236,0.571334366,0.570312244,0.637075695,0.470041718,0.508637236
bayes,0.810987592,0.811516315,0.806699157,0.810051609,0.779734151,0.789643816,0.811516315
bayes,0.742121344,0.745489443,0.701666287,0.738756566,0.610978816,0.61410641,0.745489443
bayes,0.701625933,0.713243762,0.697756093,0.685899359,0.649170146,0.655826064,0.713243762
bayes,0.74952432,0.758448541,0.750155988,0.726066368,0.696867223,0.706560851,0.758448541
ada,0.897710558,0.896737044,0.893829164,0.900876155,0.85797663,0.874917913,0.896737044
ada,0.865195167,0.852975048,0.854312382,0.849309012,0.8623291,0.850835314,0.852975048
ada,0.798907845,0.798848369,0.798877628,0.791785562,0.791955384,0.791869965,0.798848369
ada,0.889625239,0.889827255,0.889722493,0.86807015,0.866672829,0.867366314,0.889827255
ada,0.8499774,0.839539347,0.843191742,0.789137085,0.8167798,0.800614295,0.839539347
ada,0.931031213,0.928598848,0.929641342,0.850893487,0.872007688,0.860948488,0.928598848
ada,0.903180518,0.902879079,0.90300625,0.895586556,0.897663992,0.896598781,0.902879079
ada,0.87810331,0.874472169,0.867967999,0.886425359,0.81324047,0.838154767,0.874472169
ada,0.815969709,0.812284069,0.802242683,0.820993818,0.758133548,0.774866693,0.812284069
ada,0.881024336,0.881336406,0.88116875,0.865074093,0.863016681,0.864030653,0.881336406
svm,0.892010465,0.890211132,0.886520036,0.897060377,0.846788482,0.865801563,0.890211132
svm,0.867885674,0.868330134,0.867945403,0.86466651,0.860428343,0.862372292,0.868330134
svm,0.805556439,0.800767754,0.794929821,0.810125722,0.775458684,0.783788906,0.800767754
svm,0.886944972,0.888291747,0.88547401,0.88069711,0.844045262,0.859330316,0.888291747
svm,0.847868904,0.851055662,0.849051868,0.809290751,0.793074488,0.800536932,0.851055662
svm,0.931876054,0.934740883,0.932203089,0.890582229,0.834142519,0.859043258,0.934740883
svm,0.895084098,0.89328215,0.89138541,0.899360461,0.871860941,0.882382768,0.89328215
