experiment_name,weighted_precision,weighted_recall,weighted_f1,macro_precision,macro_recall,macro_f1,f1_score,accuracy
MLP,0.018333333333333333,0.0033333333333333335,0.005641025641025641,0.03333333333333333,0.006060606060606061,0.010256410256410256,0.010256410256410256,0.0033333333333333335
MLP,0.4749295201951748,0.3,0.29565759242498085,0.26450257522363785,0.345,0.1953195711202395,0.1953195711202395,0.3
MLP,0.3337921146953405,0.47,0.3849329693166538,0.2068100358422939,0.2713893249607535,0.23026771525202722,0.23026771525202722,0.47
MLP,0.44763347763347766,0.19,0.16898542903399888,0.30483405483405485,0.24087519623233908,0.16303414610214395,0.16303414610214395,0.19
MLP,0.37467105263157896,0.275,0.15366443162326524,0.2220394736842105,0.25313971742543173,0.12689069078434428,0.12689069078434428,0.275
MLP,0.42462134871979806,0.41,0.37885848126232746,0.22178146411828348,0.24045454545454548,0.2097715318869165,0.2097715318869165,0.41
MLP,0.24,0.48,0.32,0.12244897959183673,0.24489795918367346,0.163265306122449,0.163265306122449,0.48
MLP,0.29230999539382774,0.375,0.27807661290322583,0.20969599263012437,0.2605295440605193,0.19576612903225807,0.19576612903225807,0.375
MLP,0.36736607142857136,0.455,0.3642748414376321,0.21763392857142858,0.25833333333333336,0.2102536997885835,0.2102536997885835,0.455
MLP,0.390625,0.625,0.4807692307692308,0.15625,0.25,0.19230769230769232,0.19230769230769232,0.625
