experiment_name,weighted_precision,weighted_recall,weighted_f1,macro_precision,macro_recall,macro_f1,f1_score,accuracy
,0.605902778,0.53125,0.553353659,0.248015873,0.25931677,0.242160279,0.242160279,0.53125
,0.583285117,0.59,0.495778305,0.321279331,0.280909091,0.246104763,0.246104763,0.59
,0.554314721,0.555,0.409784515,0.30499154,0.254393939,0.190344943,0.190344943,0.555
,0.530015752,0.575,0.519379579,0.286063671,0.283636364,0.265911172,0.265911172,0.575
,0.683673469,0.57,0.43339952,0.390306122,0.263333333,0.205055018,0.205055018,0.57
,0.504131455,0.553333333,0.432654062,0.264084507,0.257520325,0.20575105,0.20575105,0.553333333
,0.871918242,0.8674,0.868685355,0.70930381,0.691377042,0.697225647,0.697225647,0.8674
,0.79899004,0.795666667,0.796874338,0.743405561,0.74621893,0.744360087,0.744360087,0.795666667
,0.785099942,0.7798,0.779845475,0.767154538,0.755684776,0.759378572,0.759378572,0.7798
,0.83855052,0.8388,0.83844679,0.753212,0.741822732,0.746953902,0.746953902,0.8388
,0.76348646,0.7778,0.766991765,0.673659269,0.646662199,0.656280733,0.656280733,0.7778
