model_name,aspect,p,r,f1,,m-p,m-r,m-f1,,acc
BertCNNBiGRUModel_4type_add_aspect__filter_128_window_size_4_gru_dim_256_epoch_3_batchSize_80,space_label,0.884040931,0.893499076,0.887561019,,0.693039534,0.631583981,0.650037264,,0.893499076
BertCNNBiGRUModel_4type_add_aspect__filter_128_window_size_4_gru_dim_256_epoch_3_batchSize_80,power_label,0.866540943,0.882580212,0.872959326,,0.68378164,0.622362005,0.643247457,,0.882580212
BertCNNBiGRUModel_4type_add_aspect__filter_128_window_size_4_gru_dim_256_epoch_3_batchSize_80,manipulation_label,0.899070995,0.913488997,0.904081068,,0.714527548,0.589194301,0.616369846,,0.913488997
BertCNNBiGRUModel_4type_add_aspect__filter_128_window_size_4_gru_dim_256_epoch_3_batchSize_80,consumption_label,0.849616775,0.869561566,0.857896905,,0.668093784,0.611578459,0.632123792,,0.869561566
BertCNNBiGRUModel_4type_add_aspect__filter_128_window_size_4_gru_dim_256_epoch_3_batchSize_80,comfort_label,0.785488631,0.797581052,0.790487295,,0.674526423,0.632174702,0.647173089,,0.797581052
BertCNNBiGRUModel_4type_add_aspect__filter_128_window_size_4_gru_dim_256_epoch_3_batchSize_80,outside_label,0.934991109,0.954980682,0.941031289,,0.693713651,0.526653509,0.54085507,,0.954980682
BertCNNBiGRUModel_4type_add_aspect__filter_128_window_size_4_gru_dim_256_epoch_3_batchSize_80,inside_label,0.794726015,0.823030405,0.804856214,,0.667660371,0.59933984,0.619128273,,0.823030405
BertCNNBiGRUModel_4type_add_aspect__filter_128_window_size_4_gru_dim_256_epoch_3_batchSize_80,value_label,0.890943583,0.899210482,0.894752079,,0.672784172,0.63605007,0.652162809,,0.899210482
,,0.863177373,0.879241559,0.869203149,,0.68351589,0.606117108,0.6251372,,0.879241559
BertCNNBiGRUModel_4type_add_aspect__filter_128_window_size_4_gru_dim_256_epoch_3_batchSize_80,space_label,0.888776376,0.890727364,0.888397981,,0.693794048,0.643024962,0.654249173,,0.890727364
BertCNNBiGRUModel_4type_add_aspect__filter_128_window_size_4_gru_dim_256_epoch_3_batchSize_80,power_label,0.865744219,0.886863766,0.872859233,,0.70347613,0.614488694,0.642978613,,0.886863766
BertCNNBiGRUModel_4type_add_aspect__filter_128_window_size_4_gru_dim_256_epoch_3_batchSize_80,manipulation_label,0.898952582,0.912901058,0.904719531,,0.668055952,0.593058701,0.615192419,,0.912901058
BertCNNBiGRUModel_4type_add_aspect__filter_128_window_size_4_gru_dim_256_epoch_3_batchSize_80,consumption_label,0.850671644,0.868889635,0.857575129,,0.684872563,0.608366777,0.631847416,,0.868889635
BertCNNBiGRUModel_4type_add_aspect__filter_128_window_size_4_gru_dim_256_epoch_3_batchSize_80,comfort_label,0.783933612,0.800016798,0.790176821,,0.680338528,0.626257044,0.64386678,,0.800016798
BertCNNBiGRUModel_4type_add_aspect__filter_128_window_size_4_gru_dim_256_epoch_3_batchSize_80,outside_label,0.933052837,0.95548463,0.938688328,,0.730595426,0.516886202,0.526596848,,0.95548463
BertCNNBiGRUModel_4type_add_aspect__filter_128_window_size_4_gru_dim_256_epoch_3_batchSize_80,inside_label,0.797309626,0.822526457,0.806563528,,0.667884505,0.603874324,0.621879255,,0.822526457
BertCNNBiGRUModel_4type_add_aspect__filter_128_window_size_4_gru_dim_256_epoch_3_batchSize_80,value_label,0.886805261,0.90307408,0.893579004,,0.672840641,0.611649529,0.635304561,,0.90307408
,,0.86315577,0.880060474,0.869069944,,0.687732224,0.602200779,0.621489383,,0.880060474
BertCNNBiGRUModel_4type_add_aspect__filter_128_window_size_5_gru_dim_256_epoch_3_batchSize_80,space_label,0.883457773,0.897362674,0.888473449,,0.699144784,0.620685041,0.642274797,,0.897362674
BertCNNBiGRUModel_4type_add_aspect__filter_128_window_size_5_gru_dim_256_epoch_3_batchSize_80,power_label,0.87142624,0.882244247,0.876129818,,0.692933526,0.646490603,0.665189395,,0.882244247
BertCNNBiGRUModel_4type_add_aspect__filter_128_window_size_5_gru_dim_256_epoch_3_batchSize_80,manipulation_label,0.899564768,0.909625399,0.903099785,,0.697578155,0.593362731,0.615537384,,0.909625399
BertCNNBiGRUModel_4type_add_aspect__filter_128_window_size_5_gru_dim_256_epoch_3_batchSize_80,consumption_label,0.846970825,0.863682177,0.853565424,,0.662812947,0.598237523,0.61780659,,0.863682177
BertCNNBiGRUModel_4type_add_aspect__filter_128_window_size_5_gru_dim_256_epoch_3_batchSize_80,comfort_label,0.793323956,0.8048043,0.797039461,,0.692347506,0.631751145,0.648005465,,0.8048043
BertCNNBiGRUModel_4type_add_aspect__filter_128_window_size_5_gru_dim_256_epoch_3_batchSize_80,outside_label,0.939309621,0.956744499,0.940240036,,0.839066905,0.520517512,0.532988771,,0.956744499
BertCNNBiGRUModel_4type_add_aspect__filter_128_window_size_5_gru_dim_256_epoch_3_batchSize_80,inside_label,0.795382552,0.81076768,0.801657964,,0.654520436,0.609527629,0.623460994,,0.81076768
BertCNNBiGRUModel_4type_add_aspect__filter_128_window_size_5_gru_dim_256_epoch_3_batchSize_80,value_label,0.887106425,0.899798421,0.89264667,,0.678095092,0.623709993,0.645706938,,0.899798421
,,0.86456777,0.878128675,0.869106576,,0.702062419,0.605535272,0.623871292,,0.878128675
BertCNNBiGRUModel_4type_add_aspect__filter_128_window_size_5_gru_dim_256_epoch_3_batchSize_80,space_label,0.880542806,0.895514866,0.886173775,,0.68965745,0.615230893,0.636285675,,0.895514866
BertCNNBiGRUModel_4type_add_aspect__filter_128_window_size_5_gru_dim_256_epoch_3_batchSize_80,power_label,0.865999546,0.884931967,0.872949857,,0.690537988,0.621933476,0.646567421,,0.884931967
BertCNNBiGRUModel_4type_add_aspect__filter_128_window_size_5_gru_dim_256_epoch_3_batchSize_80,manipulation_label,0.900109004,0.906181757,0.901590783,,0.682724484,0.587317315,0.599266999,,0.906181757
BertCNNBiGRUModel_4type_add_aspect__filter_128_window_size_5_gru_dim_256_epoch_3_batchSize_80,consumption_label,0.851161373,0.86452209,0.856945824,,0.66350358,0.617298272,0.634448676,,0.86452209
BertCNNBiGRUModel_4type_add_aspect__filter_128_window_size_5_gru_dim_256_epoch_3_batchSize_80,comfort_label,0.786329277,0.799176886,0.791708284,,0.678382873,0.63625918,0.651921332,,0.799176886
BertCNNBiGRUModel_4type_add_aspect__filter_128_window_size_5_gru_dim_256_epoch_3_batchSize_80,outside_label,0.936276942,0.956996472,0.940843429,,0.720766608,0.526934056,0.542234504,,0.956996472
BertCNNBiGRUModel_4type_add_aspect__filter_128_window_size_5_gru_dim_256_epoch_3_batchSize_80,inside_label,0.797011933,0.818326894,0.805534253,,0.658166546,0.606098504,0.622148527,,0.818326894
BertCNNBiGRUModel_4type_add_aspect__filter_128_window_size_5_gru_dim_256_epoch_3_batchSize_80,value_label,0.888304067,0.904417941,0.894896867,,0.684884291,0.627567531,0.650508574,,0.904417941
