model_name,aspect,p,r,f1,,m-p,m-r,m-f1,,acc
epoch_3_batchSize_80_filter_128_windowSize_4,space_label,0.895055252,0.885267932,0.877748425,,0.832582835,0.606477188,0.595058544,,0.885267932
epoch_3_batchSize_80_filter_128_windowSize_4,power_label,0.856545525,0.885939862,0.861192157,,0.704703395,0.563624922,0.58051675,,0.885939862
epoch_3_batchSize_80_filter_128_windowSize_4,manipulation_label,0.890606643,0.917100622,0.892055322,,0.829308068,0.529129992,0.540080721,,0.917100622
epoch_3_batchSize_80_filter_128_windowSize_4,consumption_label,0.864762612,0.884344028,0.865315813,,0.745761701,0.581654799,0.599206716,,0.884344028
epoch_3_batchSize_80_filter_128_windowSize_4,comfort_label,0.783837285,0.801864606,0.788911467,,0.70721681,0.627493929,0.647268331,,0.801864606
epoch_3_batchSize_80_filter_128_windowSize_4,outside_label,0.934846425,0.952544935,0.941473566,,0.625080525,0.537716825,0.554416044,,0.952544935
epoch_3_batchSize_80_filter_128_windowSize_4,inside_label,0.797388466,0.812867462,0.803387924,,0.668400714,0.614107361,0.630920492,,0.812867462
epoch_3_batchSize_80_filter_128_windowSize_4,value_label,0.877461022,0.904501932,0.885675352,,0.69518911,0.574305658,0.605890594,,0.904501932
,,0.862562904,0.880553922,0.864470003,,0.726030395,0.579313834,0.594169774,,0.880553922
epoch_3_batchSize_80_filter_128_windowSize_4,space_label,0.84793594,0.894674954,0.865107751,,0.566962463,0.541478026,0.539575348,,0.894674954
epoch_3_batchSize_80_filter_128_windowSize_4,power_label,0.85664138,0.885687888,0.857705948,,0.721496917,0.577388454,0.605598005,,0.885687888
epoch_3_batchSize_80_filter_128_windowSize_4,manipulation_label,0.882402421,0.916764656,0.886262154,,0.646538732,0.551633307,0.555226045,,0.916764656
epoch_3_batchSize_80_filter_128_windowSize_4,consumption_label,0.856142226,0.884008063,0.865042385,,0.703471086,0.604441159,0.634555112,,0.884008063
epoch_3_batchSize_80_filter_128_windowSize_4,comfort_label,0.783288559,0.807156056,0.788005446,,0.717846181,0.614036569,0.633408956,,0.807156056
epoch_3_batchSize_80_filter_128_windowSize_4,outside_label,0.934324047,0.952040988,0.941079352,,0.621023582,0.544661731,0.564399527,,0.952040988
epoch_3_batchSize_80_filter_128_windowSize_4,inside_label,0.798822126,0.823786326,0.805931812,,0.687424031,0.592097209,0.609893227,,0.823786326
epoch_3_batchSize_80_filter_128_windowSize_4,value_label,0.882473468,0.904081975,0.88959835,,0.705428851,0.590809188,0.623152999,,0.904081975
,,0.855253771,0.883525113,0.86234165,,0.67127398,0.577068205,0.595726152,,0.883525113
epoch_3_batchSize_80_filter_128_windowSize_5,space_label,0.867506369,0.894758945,0.870420697,,0.754861372,0.563452006,0.585801614,,0.894758945
epoch_3_batchSize_80_filter_128_windowSize_5,power_label,0.853888134,0.884847976,0.85397286,,0.710209795,0.559005467,0.580901573,,0.884847976
epoch_3_batchSize_80_filter_128_windowSize_5,manipulation_label,0.892178668,0.918948429,0.895520963,,0.757245222,0.535631174,0.548356737,,0.918948429
epoch_3_batchSize_80_filter_128_windowSize_5,consumption_label,0.850928023,0.880900386,0.860043864,,0.657496112,0.605798145,0.617084509,,0.880900386
